Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.21,2.29,2.29,2.05,n,n,n,
1,-0.08,1.85,1.85,2.08,n,n,n,
2,-0.26,2.16,2.16,2.42,n,n,n,
3,-0.23,2.76,2.76,3.11,n,n,n,
4,-0.22,2.76,2.76,3.11,n,n,n,
5,-0.28,2.60,2.60,2.92,n,n,n,
6,-0.28,2.74,2.74,3.08,n,n,n,
7,-0.11,3.04,3.04,3.42,n,n,n,
8,-0.09,2.74,2.74,2.95,n,n,n,
9,-0.44,2.90,2.90,3.26,n,n,n,
10,-0.11,5.72,6.12,6.88,n,n,n,
11,0.09,7.96,8.36,9.40,n,n,n,
12,0.03,10.23,11.22,12.62,n,n,n,
13,-0.32,15.09,16.68,18.77,n,n,n,
14,-0.17,18.13,20.12,22.64,n,n,n,
15,-0.12,20.21,22.79,25.64,n,n,n,
16,0.01,23.22,26.80,30.15,n,n,n,
17,-0.03,28.69,33.27,37.43,n,n,n,
18,-0.27,32.04,36.81,41.42,n,n,n,
19,-0.37,35.91,41.08,46.22,n,n,n,
20,-0.24,38.29,43.86,49.34,n,n,n,
21,-0.24,39.61,45.18,50.83,n,n,n,
22,-0.33,42.85,48.62,54.70,n,n,n,
23,-0.21,43.15,49.32,55.49,n,n,n,
24,-0.30,43.93,50.29,59.83,n,n,n,
25,-0.45,47.91,54.87,61.73,n,n,n,
26,-0.26,48.60,55.56,62.51,n,n,n,
27,-0.13,48.87,55.64,62.60,n,n,n,
28,-0.28,47.13,53.50,60.19,n,n,n,
29,-0.51,45.36,52.13,58.65,n,n,n,
30,0.07,45.61,52.18,58.70,n,n,n,
31,-0.23,41.91,48.28,54.31,n,n,n,
32,-0.28,40.30,46.47,48.49,n,n,n,
33,-0.51,34.72,38.90,43.76,n,n,n,
34,-0.17,32.54,36.72,41.30,n,n,n,
35,-0.30,30.32,33.71,37.92,n,n,n,
36,-0.26,27.75,30.94,34.80,n,n,n,
37,-0.20,24.49,27.28,30.69,n,n,n,
38,-0.29,22.39,24.78,27.87,n,n,n,
39,-0.33,21.04,23.62,26.57,n,n,n,
40,-0.13,17.64,20.02,21.39,n,n,n,
41,-0.15,16.25,18.24,20.52,n,n,n,
42,-0.07,14.40,15.79,17.77,n,n,n,
43,-0.30,13.57,14.97,16.83,n,n,n,
44,-0.35,12.38,13.58,15.27,n,n,n,
45,-0.67,12.11,13.30,14.96,n,n,n,
46,-0.39,11.19,12.59,14.16,n,n,n,
47,-0.40,10.28,11.48,12.91,n,n,n,
48,-0.06,8.96,9.95,10.54,n,n,n,
49,0.01,7.66,8.45,9.51,n,n,n,
50,-0.07,7.21,8.41,9.46,n,n,n,
51,-0.18,6.80,7.99,8.99,n,n,n,
52,-0.11,6.69,7.49,8.42,n,n,n,
53,0.04,6.50,7.29,8.20,n,n,n,
54,-0.50,6.33,7.32,8.24,n,n,n,
55,-0.00,6.30,7.30,8.21,n,n,n,
56,-0.22,6.03,6.82,7.67,n,n,n,
57,0.04,6.16,7.16,8.05,n,n,n,
58,-0.42,6.80,7.79,8.77,n,n,n,
59,-0.26,7.10,8.10,9.11,n,n,n,
60,-0.49,6.66,7.46,8.39,n,n,n,
61,-0.36,0.00,7.49,8.42,n,n,n,
62,0.24,6.41,7.21,8.11,n,n,n,
63,-0.22,6.11,7.10,7.99,n,n,n,
64,-0.19,6.44,7.24,8.14,n,n,n,
65,-0.10,6.27,6.67,7.51,n,n,n,
66,-0.34,5.69,5.89,6.63,n,n,n,
67,-0.27,5.86,6.26,7.04,n,n,n,
68,0.08,5.45,5.84,6.57,n,n,n,
69,-0.40,5.42,5.82,6.54,n,n,n,
70,-0.16,4.95,5.35,6.01,n,n,n,
71,0.14,4.67,5.07,5.70,n,n,n,
72,0.15,4.95,5.35,6.01,n,n,n,
73,-0.14,4.51,4.90,5.51,n,n,n,
74,-0.32,4.53,4.93,5.55,n,n,n,
75,-0.21,4.40,4.79,5.39,n,n,n,
76,-0.32,3.76,3.96,4.45,n,n,n,
77,-0.20,3.95,4.15,4.67,n,n,n,
78,-0.08,4.28,4.68,5.27,n,n,n,
79,-0.27,3.81,4.21,4.74,n,n,n,
80,-0.41,4.12,4.52,5.08,n,n,n,
81,-0.34,3.65,3.85,4.33,n,n,n,
82,-0.07,3.65,4.05,4.55,n,n,n,
83,0.03,3.51,3.71,4.17,n,n,n,
84,0.12,3.54,3.74,4.20,n,n,n,
85,-0.30,3.68,4.07,4.58,n,n,n,
86,-0.00,3.81,4.21,4.74,n,n,n,
87,0.05,3.65,4.05,4.55,n,n,n,
88,-0.24,3.51,3.91,4.40,n,n,n,
89,-0.29,3.26,3.66,4.12,n,n,n,
90,0.02,3.26,3.66,4.12,n,n,n,
91,0.12,3.12,3.92,4.41,n,n,n,
92,-0.26,3.07,3.86,4.34,n,n,n,
93,-0.06,3.21,4.00,0.00,n,n,n,
94,-0.12,3.21,4.20,4.73,n,n,n,
95,-0.28,3.18,3.97,4.47,n,n,n,
96,-0.00,2.87,3.67,4.13,n,n,n,
97,-0.29,3.01,4.01,4.51,n,n,n,
98,0.42,2.57,3.37,3.79,n,n,n,
99,0.11,2.71,3.50,3.94,n,n,n,
100,-0.31,2.98,3.78,4.25,n,n,n,
