Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,0.22,2.74,3.33,3.75,n,n,n,
1,-0.07,2.76,3.36,3.78,n,n,n,
2,-0.02,2.60,3.19,3.59,n,n,n,
3,-0.05,2.63,3.42,3.85,n,n,n,
4,-0.17,2.63,3.22,3.62,n,n,n,
5,0.04,2.29,2.89,3.25,n,n,n,
6,-0.03,2.63,3.22,3.62,n,n,n,
7,0.10,2.13,2.53,2.84,n,n,n,
8,-0.09,2.13,2.53,2.84,n,n,n,
9,0.16,2.13,2.53,2.84,n,n,n,
10,-0.03,2.29,2.89,3.25,n,n,n,
11,-0.01,1.85,2.25,2.53,n,n,n,
12,0.05,1.99,2.39,2.69,n,n,n,
13,-0.08,1.99,2.79,3.13,n,n,n,
14,-0.15,2.16,2.95,3.32,n,n,n,
15,-0.16,2.32,3.12,3.51,n,n,n,
16,-0.05,2.02,2.81,3.16,n,n,n,
17,-0.16,2.02,2.42,0.00,n,n,n,
18,-0.14,1.55,1.75,1.96,n,n,n,
19,0.16,2.27,2.66,3.00,n,n,n,
20,0.01,2.27,3.06,3.44,n,n,n,
21,-0.11,2.27,3.06,3.44,n,n,n,
22,0.15,1.96,2.56,2.88,n,n,n,
23,-0.05,1.96,2.56,2.88,n,n,n,
24,-0.09,1.49,2.09,2.35,n,n,n,
25,-0.07,1.80,2.19,2.47,n,n,n,
26,0.04,1.66,2.45,2.76,n,n,n,
27,0.03,1.66,2.45,2.76,n,n,n,
28,-0.01,1.96,2.96,3.33,n,n,n,
29,-0.04,1.82,2.62,2.95,n,n,n,
30,-0.05,1.85,2.65,2.98,n,n,n,
31,-0.07,1.99,2.59,2.91,n,n,n,
32,-0.15,1.85,2.45,2.76,n,n,n,
33,-0.10,2.13,2.92,3.29,n,n,n,
34,0.14,2.16,2.95,3.32,n,n,n,
35,0.12,2.16,2.95,3.32,n,n,n,
36,-0.20,2.02,2.81,3.16,n,n,n,
37,-0.13,2.49,3.28,3.69,n,n,n,
38,-0.08,2.49,2.89,3.25,n,n,n,
39,-0.03,2.49,2.89,3.25,n,n,n,
40,0.04,10.64,17.01,30.07,n,n,n,
41,0.02,22.61,34.35,63.08,n,n,n,
42,-0.14,51.36,75.24,96.14,n,n,n,
43,-0.09,65.71,90.79,126.04,n,n,n,
44,-0.15,85.28,114.93,150.19,n,n,n,
45,-0.24,94.54,125.99,161.24,n,n,n,
46,-0.31,125.92,172.09,213.88,n,n,n,
47,0.14,155.94,211.86,275.85,n,n,n,
48,-0.07,185.76,250.45,320.96,n,n,n,
49,0.05,220.15,290.41,346.56,n,n,n,
50,-0.21,276.82,358.03,435.07,n,n,n,
51,-0.00,300.07,385.65,462.70,n,n,n,
52,-0.16,322.63,411.60,496.47,n,n,n,
53,0.00,342.23,434.38,519.26,n,n,n,
54,0.05,362.22,454.76,539.64,n,n,n,
55,0.10,385.32,481.26,580.50,n,n,n,
56,0.14,398.90,496.82,581.70,n,n,n,
57,0.11,420.93,520.84,620.09,n,n,n,
58,-0.07,405.73,496.28,558.96,n,n,n,
59,0.00,374.85,455.85,512.83,n,n,n,
60,0.05,371.28,450.50,506.81,n,n,n,
61,-0.06,365.59,444.40,500.55,n,n,n,
62,-0.11,346.57,422.00,474.75,n,n,n,
63,0.01,338.39,412.62,464.20,n,n,n,
64,-0.10,297.69,356.80,401.41,n,n,n,
65,-0.12,268.25,318.01,357.76,n,n,n,
66,-0.02,203.46,238.49,268.30,n,n,n,
67,-0.11,172.19,201.45,226.63,n,n,n,
68,-0.03,159.01,183.88,206.87,n,n,n,
69,-0.15,144.99,166.69,187.52,n,n,n,
70,0.04,129.40,147.31,165.72,n,n,n,
71,-0.17,116.21,131.94,148.43,n,n,n,
72,-0.10,100.37,115.30,129.71,n,n,n,
73,-0.06,88.38,101.31,113.98,n,n,n,
74,-0.08,67.31,76.86,86.47,n,n,n,
75,-0.11,62.56,71.71,80.68,n,n,n,
76,-0.07,56.23,63.79,71.76,n,n,n,
77,-0.18,51.58,58.75,66.09,n,n,n,
78,-0.01,48.54,55.51,62.45,n,n,n,
79,-0.03,44.84,52.00,58.50,n,n,n,
80,0.09,41.35,48.52,54.58,n,n,n,
81,0.06,40.94,47.71,53.67,n,n,n,
82,-0.02,35.72,41.69,46.90,n,n,n,
83,0.04,33.89,40.06,45.07,n,n,n,
84,-0.15,32.34,37.52,42.21,n,n,n,
85,0.10,30.16,34.54,38.85,n,n,n,
86,0.03,27.37,30.95,34.82,n,n,n,
87,0.04,25.26,29.44,33.12,n,n,n,
