Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.08,0.00,0.00,0.00,n,n,n,
1,0.08,0.00,0.00,0.00,n,n,n,
2,-0.19,0.00,0.00,0.00,n,n,n,
3,-0.19,0.28,0.47,0.53,n,n,n,
4,-0.36,0.28,0.47,0.53,n,n,n,
5,-0.33,0.28,0.47,0.53,n,n,n,
6,-0.11,0.28,0.47,0.53,n,n,n,
7,-0.12,0.00,0.20,0.22,n,n,n,
8,-0.34,0.14,0.34,0.38,n,n,n,
9,-0.13,0.14,0.34,0.38,n,n,n,
10,0.01,0.14,0.34,0.38,n,n,n,
11,-0.04,4.53,5.33,6.00,n,n,n,
12,-0.15,34.42,50.14,78.87,n,n,n,
13,-0.18,57.11,82.39,138.54,n,n,n,
14,0.06,84.29,122.90,207.77,n,n,n,
15,-0.08,115.16,167.90,259.31,n,n,n,
16,0.04,137.83,199.53,290.94,n,n,n,
17,0.03,164.87,233.13,324.54,n,n,n,
18,0.17,193.45,270.67,381.67,n,n,n,
19,-0.07,227.67,315.64,412.27,n,n,n,
20,-0.03,293.41,398.70,508.38,n,n,n,
21,-0.13,327.47,438.92,576.03,n,n,n,
22,-0.23,360.92,477.55,614.66,n,n,n,
23,0.03,378.94,498.36,643.30,n,n,n,
24,-0.26,399.17,521.58,673.05,n,n,n,
25,-0.06,418.88,543.28,694.75,n,n,n,
26,0.04,426.68,551.67,703.14,n,n,n,
27,0.19,428.75,553.54,690.65,n,n,n,
28,-0.07,443.98,569.77,699.04,n,n,n,
29,-0.30,413.77,529.80,631.66,n,n,n,
30,0.06,411.83,526.08,620.10,n,n,n,
31,-0.28,386.40,492.88,581.68,n,n,n,
32,-0.20,350.85,444.20,504.27,n,n,n,
33,-0.01,314.83,394.25,447.78,n,n,n,
34,-0.06,295.98,367.63,421.17,n,n,n,
35,-0.11,270.44,336.52,390.05,n,n,n,
36,0.05,207.96,253.54,285.23,n,n,n,
37,-0.01,181.15,215.18,242.08,n,n,n,
38,0.13,161.69,190.75,214.59,n,n,n,
39,-0.08,139.60,163.28,183.69,n,n,n,
40,-0.06,116.30,135.00,151.88,n,n,n,
41,-0.16,104.88,122.19,137.47,n,n,n,
42,-0.04,96.01,110.93,124.80,n,n,n,
43,-0.22,84.12,97.65,109.86,n,n,n,
44,-0.15,78.73,91.86,106.23,n,n,n,
45,-0.21,71.40,82.35,92.64,n,n,n,
46,0.01,64.02,74.17,83.44,n,n,n,
47,-0.06,56.97,66.52,74.84,n,n,n,
48,-0.12,52.19,60.75,68.34,n,n,n,
49,-0.24,49.23,57.39,64.57,n,n,n,
50,-0.15,44.29,52.84,59.45,n,n,n,
51,-0.01,40.58,49.74,49.55,n,n,n,
52,-0.18,33.17,40.73,45.83,n,n,n,
53,-0.22,31.68,39.24,45.77,n,n,n,
54,0.17,30.55,37.91,44.44,n,n,n,
55,0.08,27.59,34.15,40.68,n,n,n,
56,-0.20,25.79,32.36,38.89,n,n,n,
57,0.16,23.86,30.62,51.52,n,n,n,
58,0.14,22.53,28.70,35.23,n,n,n,
59,-0.26,22.00,26.98,31.21,n,n,n,
60,-0.04,20.46,25.03,45.93,n,n,n,
61,0.02,18.44,22.81,43.71,n,n,n,
62,0.27,18.41,22.19,36.55,n,n,n,
63,-0.06,17.28,21.06,35.42,n,n,n,
64,0.02,16.67,20.05,34.42,n,n,n,
65,0.01,16.34,19.32,33.69,n,n,n,
66,-0.19,16.03,18.82,33.18,n,n,n,
67,-0.03,15.87,18.85,33.22,n,n,n,
68,0.02,14.93,16.52,18.58,n,n,n,
69,0.20,14.87,16.26,18.30,n,n,n,
70,0.03,13.88,15.27,17.18,n,n,n,
71,0.11,13.68,14.48,16.29,n,n,n,
72,-0.01,12.96,13.76,15.48,n,n,n,
73,-0.05,12.52,13.32,14.98,n,n,n,
74,-0.05,12.58,13.57,15.27,n,n,n,
75,-0.21,11.50,12.49,14.06,n,n,n,
76,0.01,11.17,12.36,13.91,n,n,n,
77,-0.03,10.81,12.00,13.50,n,n,n,
78,-0.09,10.26,11.65,13.10,n,n,n,
79,-0.09,10.26,11.45,12.88,n,n,n,
80,-0.11,9.84,11.43,12.86,n,n,n,
81,-0.33,9.54,10.93,12.30,n,n,n,
82,-0.08,8.79,10.38,11.68,n,n,n,
83,-0.12,8.32,9.91,11.15,n,n,n,
84,0.21,7.16,8.55,9.62,n,n,n,
85,-0.04,7.05,8.44,9.50,n,n,n,
86,-0.01,6.61,7.80,8.77,n,n,n,
87,-0.10,6.22,7.41,8.34,n,n,n,
88,-0.12,6.25,7.84,8.82,n,n,n,
89,-0.00,5.03,6.62,7.45,n,n,n,
90,0.03,5.20,6.79,7.64,n,n,n,
91,-0.10,5.06,6.65,7.48,n,n,n,
92,-0.02,4.06,5.66,6.36,n,n,n,
93,-0.18,3.62,5.61,6.31,n,n,n,
94,-0.20,3.37,5.16,5.81,n,n,n,
95,0.10,3.23,5.22,11.75,n,n,n,
96,0.08,2.96,4.95,11.48,n,n,n,
97,-0.14,2.96,5.34,11.87,n,n,n,
98,-0.16,3.12,5.11,11.64,n,n,n,
99,0.15,3.43,5.42,11.95,n,n,n,
100,-0.01,3.43,5.62,12.15,n,n,n,
101,-0.30,3.23,4.82,5.43,n,n,n,
102,-0.14,3.51,5.30,11.83,n,n,n,
103,0.24,3.51,5.50,12.03,n,n,n,
104,0.14,3.95,5.94,12.47,n,n,n,
105,0.09,3.65,5.44,6.12,n,n,n,
106,0.04,3.48,4.88,5.48,n,n,n,
107,0.11,3.93,5.52,6.21,n,n,n,
108,-0.06,3.54,4.93,5.55,n,n,n,
109,-0.01,3.84,5.23,5.89,n,n,n,
110,-0.05,4.31,5.70,6.42,n,n,n,
111,0.15,5.06,6.05,6.81,n,n,n,
112,0.07,5.61,6.61,7.43,n,n,n,
113,0.16,5.58,6.58,7.40,n,n,n,
114,0.13,5.58,6.98,7.85,n,n,n,
115,0.18,5.75,7.14,8.03,n,n,n,
116,0.21,4.81,6.00,6.75,n,n,n,
117,0.17,4.95,6.14,6.91,n,n,n,
118,0.05,4.95,5.74,6.46,n,n,n,
119,-0.01,5.39,6.38,7.18,n,n,n,
120,0.01,5.28,6.27,7.06,n,n,n,
121,0.03,5.39,6.78,7.63,n,n,n,
122,0.18,4.92,6.31,7.10,n,n,n,
123,0.07,4.92,6.31,7.10,n,n,n,
124,-0.12,4.75,5.95,6.69,n,n,n,
125,0.05,4.89,6.09,6.85,n,n,n,
126,-0.01,5.11,6.31,7.09,n,n,n,
127,-0.01,5.11,6.51,7.32,n,n,n,
128,0.05,5.09,6.88,7.74,n,n,n,
129,-0.13,4.48,6.27,7.05,n,n,n,
130,-0.10,3.62,5.01,5.64,n,n,n,
131,-0.04,3.46,4.85,5.45,n,n,n,
132,0.18,4.20,5.40,6.07,n,n,n,
133,0.16,4.06,5.26,5.91,n,n,n,
134,0.01,3.93,5.32,5.98,n,n,n,
135,0.04,4.26,5.65,6.36,n,n,n,
136,-0.01,4.70,6.09,6.85,n,n,n,
137,-0.06,4.15,5.34,6.01,n,n,n,
138,-0.00,4.28,5.48,6.16,n,n,n,
139,0.25,3.90,4.49,5.05,n,n,n,
140,0.23,4.20,5.03,5.66,n,n,n,
141,0.02,3.45,4.65,5.23,n,n,n,
142,-0.08,0.00,4.93,5.54,n,n,n,
143,0.15,3.45,4.65,5.23,n,n,n,
144,0.06,3.43,4.62,5.20,n,n,n,
145,0.04,3.45,4.85,5.45,n,n,n,
146,0.00,3.45,4.25,4.78,n,n,n,
147,0.11,3.32,4.11,4.63,n,n,n,
148,0.10,3.62,4.61,5.48,n,n,n,
149,0.17,3.51,4.51,5.07,n,n,n,
150,-0.14,3.45,4.45,5.01,n,n,n,
151,0.07,3.45,4.45,5.01,n,n,n,
152,0.10,3.59,4.39,4.94,n,n,n,
153,-0.09,3.59,4.39,4.94,n,n,n,
154,-0.08,3.12,4.12,4.63,n,n,n,
155,-0.04,2.96,3.95,4.45,n,n,n,
156,-0.02,3.15,4.15,4.66,n,n,n,
157,-0.05,3.12,3.92,4.41,n,n,n,
158,0.15,3.26,4.26,4.79,n,n,n,
159,-0.04,2.96,3.55,4.00,n,n,n,
160,-0.18,2.54,3.14,3.53,n,n,n,
161,-0.02,2.38,2.97,3.35,n,n,n,
162,0.13,2.65,3.25,3.66,n,n,n,
163,0.08,2.96,3.36,3.77,n,n,n,
164,0.07,2.82,3.22,3.62,n,n,n,
165,0.33,3.26,3.86,4.34,n,n,n,
166,-0.07,3.45,3.85,4.33,n,n,n,
167,0.21,3.32,3.71,4.18,n,n,n,
168,0.01,3.34,3.74,4.21,n,n,n,
169,0.07,3.04,3.24,3.64,n,n,n,
170,0.08,3.07,3.27,3.67,n,n,n,
171,-0.13,3.04,3.44,3.87,n,n,n,
172,0.23,3.51,3.91,4.40,n,n,n,
173,0.05,3.04,3.44,3.87,n,n,n,
174,0.18,2.76,3.16,3.56,n,n,n,
175,0.09,2.90,3.30,3.71,n,n,n,
176,0.09,2.76,2.96,3.33,n,n,n,
177,0.21,2.93,3.13,3.52,n,n,n,
178,0.19,2.93,3.13,3.52,n,n,n,
179,-0.15,2.49,2.49,2.80,n,n,n,
180,0.05,2.04,2.04,2.30,n,n,n,
181,0.08,2.04,2.04,2.30,n,n,n,
182,0.18,2.04,2.04,2.30,n,n,n,
183,0.05,2.35,2.35,2.64,n,n,n,
184,-0.25,1.85,1.85,2.08,n,n,n,
185,-0.04,2.13,2.13,2.39,n,n,n,
186,0.00,1.71,1.71,1.93,n,n,n,
187,0.02,1.71,1.71,1.93,n,n,n,
188,0.11,1.71,1.71,1.93,n,n,n,
189,0.15,2.16,2.16,2.42,n,n,n,
190,0.21,2.16,2.16,2.42,n,n,n,
191,0.01,1.85,1.85,2.08,n,n,n,
192,0.00,2.02,2.02,2.27,n,n,n,
193,0.08,2.32,2.32,2.61,n,n,n,
194,0.18,2.02,2.02,2.27,n,n,n,
195,0.00,2.02,2.02,2.27,n,n,n,
196,0.07,2.32,2.32,2.61,n,n,n,
197,0.18,2.93,2.93,3.45,n,n,n,
198,0.17,2.76,2.76,3.11,n,n,n,
199,0.14,2.16,2.16,2.42,n,n,n,
200,0.07,2.32,2.32,2.61,n,n,n,
201,-0.04,2.32,2.32,2.61,n,n,n,
202,0.06,2.32,2.32,2.61,n,n,n,
203,0.19,2.04,2.04,2.30,n,n,n,
204,-0.04,2.27,2.27,2.55,n,n,n,
205,0.01,2.54,2.54,2.49,n,n,n,
206,0.19,2.07,2.07,2.33,n,n,n,
207,0.18,2.21,2.41,2.71,n,n,n,
208,-0.09,2.52,2.71,3.05,n,n,n,
209,0.30,2.52,2.71,3.05,n,n,n,
210,0.18,2.35,2.55,2.87,n,n,n,
211,0.25,2.63,2.82,3.18,n,n,n,
212,0.06,2.63,2.82,3.18,n,n,n,
213,0.20,2.63,2.82,3.18,n,n,n,
214,0.21,2.96,3.16,3.55,n,n,n,
215,-0.01,2.96,3.16,3.55,n,n,n,
216,0.37,3.12,3.32,3.74,n,n,n,
217,0.22,3.26,3.46,3.89,n,n,n,
218,0.30,3.43,3.63,4.08,n,n,n,
219,0.14,3.43,3.63,4.08,n,n,n,
220,0.35,3.59,3.79,4.27,n,n,n,
221,0.25,3.59,3.59,4.04,n,n,n,
222,0.32,2.90,2.90,3.26,n,n,n,
223,0.08,3.21,3.41,3.83,n,n,n,
224,0.08,3.51,3.71,4.17,n,n,n,
225,0.31,3.68,3.68,4.14,n,n,n,
226,0.08,3.34,3.34,3.76,n,n,n,
227,0.14,3.51,3.51,3.95,n,n,n,
228,0.12,3.51,3.51,3.95,n,n,n,
229,0.13,3.23,3.23,3.64,n,n,n,
230,0.30,3.40,3.40,3.82,n,n,n,
231,0.25,2.65,2.65,2.98,n,n,n,
232,0.44,2.60,2.60,2.92,n,n,n,
233,0.13,2.90,3.10,3.49,n,n,n,
234,0.15,2.60,2.80,3.15,n,n,n,
235,0.19,2.60,2.80,3.15,n,n,n,
236,0.13,2.54,2.54,2.86,n,n,n,
237,0.19,2.54,2.54,2.86,n,n,n,
238,0.42,2.38,2.38,2.67,n,n,n,
239,0.06,1.91,2.11,2.37,n,n,n,
240,0.05,1.93,2.13,2.40,n,n,n,
241,-0.03,1.93,2.13,2.40,n,n,n,
242,-0.01,2.21,2.41,2.71,n,n,n,
243,-0.03,2.05,2.24,2.52,n,n,n,
244,0.18,2.38,2.78,3.12,n,n,n,
245,0.21,2.35,2.75,3.09,n,n,n,
246,0.17,2.35,2.75,3.09,n,n,n,
247,0.10,2.52,2.91,3.28,n,n,n,
248,0.23,2.32,2.52,2.84,n,n,n,
249,0.21,2.32,2.52,2.84,n,n,n,
250,0.35,2.18,2.38,2.68,n,n,n,
251,0.12,1.88,1.88,2.11,n,n,n,
252,0.22,2.35,2.95,3.31,n,n,n,
253,0.10,2.63,3.22,3.62,n,n,n,
254,-0.04,2.35,2.95,3.31,n,n,n,
255,0.17,2.63,3.42,3.85,n,n,n,
256,0.06,3.37,4.17,4.69,n,n,n,
257,0.20,3.37,3.77,4.24,n,n,n,
258,0.17,3.51,3.91,4.40,n,n,n,
259,0.15,3.21,3.41,3.83,n,n,n,
260,0.15,2.96,3.16,3.55,n,n,n,
261,0.49,2.68,2.88,3.24,n,n,n,
262,0.36,2.68,3.08,3.49,n,n,n,
263,-0.06,2.38,2.58,2.90,n,n,n,
264,0.24,2.38,2.58,2.90,n,n,n,
265,0.29,2.65,2.85,3.21,n,n,n,
266,0.47,2.65,2.85,3.21,n,n,n,
267,-0.02,2.65,2.85,3.21,n,n,n,
268,0.11,2.35,2.55,2.87,n,n,n,
269,0.23,2.49,2.69,3.02,n,n,n,
270,0.15,2.18,2.18,2.87,n,n,n,
271,-0.12,2.35,2.55,2.87,n,n,n,
272,0.06,2.68,2.88,3.24,n,n,n,
273,0.12,2.40,2.40,2.70,n,n,n,
274,0.33,1.66,1.86,2.09,n,n,n,
275,0.33,1.99,2.19,2.46,n,n,n,
276,0.20,1.52,1.72,1.93,n,n,n,
277,0.17,1.52,1.72,1.93,n,n,n,
278,0.12,1.35,1.55,1.75,n,n,n,
279,0.04,1.93,2.13,2.40,n,n,n,
280,-0.08,1.93,2.13,2.40,n,n,n,
281,0.23,2.24,2.44,2.74,n,n,n,
282,0.31,2.24,2.24,2.52,n,n,n,
283,0.62,1.96,1.96,2.21,n,n,n,
284,0.39,2.13,2.13,2.39,n,n,n,
285,0.21,2.60,2.60,2.92,n,n,n,
286,-0.03,2.90,3.10,3.49,n,n,n,
287,0.02,3.10,3.10,3.48,n,n,n,
288,0.03,3.10,3.10,3.48,n,n,n,
