Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.15,5.00,5.40,6.08,n,n,n,
1,-0.08,5.17,5.77,6.49,n,n,n,
2,-0.24,5.17,5.37,6.04,n,n,n,
3,-0.14,5.11,5.31,5.98,n,n,n,
4,-0.27,5.11,5.31,5.70,n,n,n,
5,-0.07,4.48,4.88,5.48,n,n,n,
6,-0.26,5.20,5.59,12.12,n,n,n,
7,-0.29,5.36,5.76,12.29,n,n,n,
8,-0.25,3.87,4.07,4.58,n,n,n,
9,-0.70,3.73,3.93,4.42,n,n,n,
10,-0.77,3.43,3.63,4.08,n,n,n,
11,-0.71,3.76,4.16,10.69,n,n,n,
12,-0.70,4.06,4.06,4.57,n,n,n,
13,-0.33,3.65,4.25,4.78,n,n,n,
14,0.06,3.95,4.55,5.12,n,n,n,
15,0.18,3.81,4.41,4.96,n,n,n,
16,0.07,3.98,4.58,5.15,n,n,n,
17,0.26,4.70,5.10,5.73,n,n,n,
18,0.28,4.67,5.07,5.70,n,n,n,
19,0.26,5.39,5.79,6.51,n,n,n,
20,0.35,5.25,5.65,6.36,n,n,n,
21,0.26,23.50,34.24,40.77,n,n,n,
22,0.29,45.20,70.67,79.50,n,n,n,
23,0.45,66.26,106.07,126.96,n,n,n,
24,0.33,91.36,142.11,170.84,n,n,n,
25,0.31,118.23,178.54,207.26,n,n,n,
26,0.30,144.46,208.95,236.37,n,n,n,
27,0.46,171.72,240.79,270.88,n,n,n,
28,0.30,194.36,266.21,299.49,n,n,n,
29,0.44,227.51,302.94,344.72,n,n,n,
30,0.32,238.12,314.35,356.14,n,n,n,
31,0.26,247.85,324.28,364.81,n,n,n,
32,0.24,257.61,334.83,376.69,n,n,n,
33,0.27,262.09,339.51,381.95,n,n,n,
34,0.40,263.61,340.63,383.21,n,n,n,
35,0.27,266.46,343.48,386.42,n,n,n,
36,0.41,270.60,347.63,391.08,n,n,n,
37,0.31,279.48,359.09,403.98,n,n,n,
38,0.35,284.67,364.88,410.49,n,n,n,
39,0.32,260.76,331.22,372.62,n,n,n,
40,0.24,233.06,288.99,325.11,n,n,n,
41,0.33,205.06,246.46,277.27,n,n,n,
42,0.26,178.38,209.23,235.39,n,n,n,
