Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.07,4.86,6.26,7.04,n,n,n,
1,-0.08,4.70,6.09,6.85,n,n,n,
2,-0.21,5.42,7.01,7.89,n,n,n,
3,-0.07,5.06,6.25,7.03,n,n,n,
4,-0.07,5.20,5.99,6.74,n,n,n,
5,-0.26,5.34,6.33,7.12,n,n,n,
6,-0.10,5.80,7.00,7.87,n,n,n,
7,-0.30,5.53,6.92,7.78,n,n,n,
8,-0.12,5.53,6.92,7.78,n,n,n,
9,-0.10,5.36,6.56,7.38,n,n,n,
10,-0.25,5.97,7.56,8.51,n,n,n,
11,-0.21,5.94,7.34,0.00,n,n,n,
12,-0.12,5.67,7.06,7.94,n,n,n,
13,-0.25,4.84,6.23,7.01,n,n,n,
14,-0.10,5.00,6.59,7.42,n,n,n,
15,-0.25,4.84,6.03,6.78,n,n,n,
16,-0.22,4.84,6.03,6.78,n,n,n,
17,-0.37,4.09,4.89,5.50,n,n,n,
18,-0.30,4.09,5.09,5.72,n,n,n,
19,-0.19,3.65,4.44,5.00,n,n,n,
20,-0.23,30.30,46.02,53.85,n,n,n,
21,-0.06,52.30,84.94,100.61,n,n,n,
22,-0.25,77.81,127.17,176.80,n,n,n,
23,-0.22,106.23,171.71,250.06,n,n,n,
24,-0.13,129.70,204.74,292.49,n,n,n,
25,-0.23,167.88,251.47,321.98,n,n,n,
26,-0.32,196.85,287.61,364.65,n,n,n,
27,-0.15,230.27,326.80,403.84,n,n,n,
28,-0.24,278.34,383.43,484.24,n,n,n,
29,-0.35,292.86,398.94,499.75,n,n,n,
30,-0.28,306.95,414.03,514.84,n,n,n,
31,-0.22,316.52,424.59,525.40,n,n,n,
32,-0.15,320.55,428.03,528.84,n,n,n,
33,-0.21,324.90,431.97,509.02,n,n,n,
34,-0.03,330.45,437.53,514.57,n,n,n,
35,-0.26,338.99,447.47,548.27,n,n,n,
36,-0.24,350.80,460.86,583.87,n,n,n,
37,-0.30,350.05,458.32,565.66,n,n,n,
38,-0.14,315.47,411.80,519.14,n,n,n,
39,-0.43,281.38,360.80,430.00,n,n,n,
40,-0.16,244.65,307.14,348.93,n,n,n,
41,-0.21,212.44,258.81,291.17,n,n,n,
42,-0.26,192.12,229.14,257.78,n,n,n,
43,0.07,157.90,185.76,213.19,n,n,n,
44,-0.04,108.69,124.42,145.31,n,n,n,
45,-0.20,90.28,103.02,123.91,n,n,n,
46,-0.11,74.69,84.64,95.22,n,n,n,
47,-0.21,66.73,76.48,86.04,n,n,n,
48,-0.33,58.08,67.23,75.64,n,n,n,
49,-0.10,53.71,61.87,69.60,n,n,n,
50,-0.20,48.93,56.69,63.78,n,n,n,
51,-0.09,43.81,50.78,57.31,n,n,n,
52,-0.14,38.48,45.64,52.17,n,n,n,
53,-0.20,36.74,43.90,49.39,n,n,n,
54,-0.14,34.72,42.08,47.34,n,n,n,
55,-0.35,32.26,39.43,52.48,n,n,n,
56,-0.13,29.36,35.72,48.78,n,n,n,
57,-0.21,27.86,33.63,40.16,n,n,n,
58,-0.14,26.95,32.32,38.85,n,n,n,
59,-0.34,25.43,31.20,37.73,n,n,n,
60,-0.02,23.47,29.64,33.34,n,n,n,
61,-0.17,22.17,28.74,32.33,n,n,n,
62,-0.18,21.73,27.90,31.38,n,n,n,
63,-0.31,21.62,26.99,30.36,n,n,n,
64,-0.25,21.89,27.27,30.67,n,n,n,
65,-0.40,20.29,25.26,28.42,n,n,n,
66,-0.38,20.81,26.19,29.46,n,n,n,
67,-0.25,20.21,25.58,28.78,n,n,n,
68,-0.29,18.22,23.19,26.09,n,n,n,
69,-0.17,18.44,23.21,26.11,n,n,n,
70,-0.05,18.85,23.43,26.36,n,n,n,
71,-0.34,17.97,22.34,25.14,n,n,n,
72,-0.21,17.83,21.81,24.53,n,n,n,
73,-0.14,16.89,20.67,23.25,n,n,n,
74,-0.30,16.58,19.97,22.46,n,n,n,
75,-0.17,17.66,21.05,23.68,n,n,n,
76,-0.20,17.03,20.01,22.51,n,n,n,
77,-0.25,15.76,18.34,20.63,n,n,n,
78,-0.09,16.09,18.48,20.78,n,n,n,
79,-0.12,15.67,17.07,19.20,n,n,n,
80,-0.21,14.51,15.90,17.89,n,n,n,
81,-0.14,14.35,15.94,17.93,n,n,n,
82,-0.17,13.21,14.21,15.98,n,n,n,
83,-0.16,13.07,14.07,15.83,n,n,n,
84,-0.25,11.50,12.30,13.83,n,n,n,
85,-0.20,11.53,12.32,13.86,n,n,n,
86,-0.23,11.55,12.75,14.34,n,n,n,
87,-0.23,10.50,11.90,13.38,n,n,n,
88,-0.19,10.78,12.17,13.69,n,n,n,
89,-0.35,10.34,11.73,13.20,n,n,n,
90,-0.20,9.76,11.15,12.54,n,n,n,
91,-0.17,10.75,11.75,13.22,n,n,n,
92,-0.29,9.34,10.14,11.40,n,n,n,
93,-0.10,9.20,10.00,11.25,n,n,n,
94,-0.09,8.93,9.72,10.94,n,n,n,
95,-0.17,8.90,9.50,10.68,n,n,n,
96,-0.11,8.73,9.93,11.17,n,n,n,
97,-0.10,8.57,9.96,11.21,n,n,n,
98,-0.31,8.57,9.96,11.21,n,n,n,
99,-0.33,8.27,10.06,11.31,n,n,n,
100,-0.19,8.13,10.12,11.38,n,n,n,
101,-0.12,8.29,10.48,11.79,n,n,n,
102,-0.22,8.29,10.28,11.57,n,n,n,
103,-0.40,7.82,9.81,11.04,n,n,n,
104,-0.15,7.74,9.13,10.27,n,n,n,
105,-0.11,8.15,9.75,10.96,n,n,n,
106,-0.23,7.49,9.28,10.44,n,n,n,
107,-0.31,7.49,9.68,10.89,n,n,n,
108,-0.15,6.66,8.85,9.96,n,n,n,
109,-0.23,6.91,9.10,10.24,n,n,n,
110,-0.07,6.91,9.10,10.24,n,n,n,
111,-0.12,6.63,9.02,10.15,n,n,n,
112,-0.24,6.47,9.06,10.19,n,n,n,
113,-0.06,6.00,8.39,9.43,n,n,n,
114,-0.20,6.19,8.18,9.20,n,n,n,
115,-0.26,6.80,8.79,9.89,n,n,n,
116,-0.24,7.21,9.01,10.13,n,n,n,
117,-0.17,7.96,9.75,10.97,n,n,n,
