Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.19,1.02,1.02,1.15,n,n,n,
1,0.02,1.02,1.22,1.37,n,n,n,
2,-0.09,0.72,0.72,0.81,n,n,n,
3,-0.02,0.72,0.72,0.81,n,n,n,
4,0.05,0.72,0.72,0.81,n,n,n,
5,-0.23,0.72,0.72,0.81,n,n,n,
6,-0.19,0.58,0.58,0.65,n,n,n,
7,0.13,1.02,1.42,1.60,n,n,n,
8,0.07,0.86,1.25,1.41,n,n,n,
9,-0.07,0.86,1.25,1.41,n,n,n,
10,-0.20,0.69,0.89,1.00,n,n,n,
11,-0.30,0.55,1.15,1.29,n,n,n,
12,0.03,0.55,1.15,1.29,n,n,n,
13,0.16,0.69,1.49,1.67,n,n,n,
14,0.12,0.69,1.49,1.67,n,n,n,
15,0.04,0.55,1.15,1.29,n,n,n,
16,-0.04,0.41,1.01,1.14,n,n,n,
17,0.14,0.72,1.51,1.70,n,n,n,
18,-0.15,0.88,1.68,1.89,n,n,n,
19,-0.10,0.88,1.28,1.44,n,n,n,
20,0.00,0.58,0.78,0.88,n,n,n,
21,-0.02,0.88,1.28,1.44,n,n,n,
22,-0.26,1.05,1.45,1.63,n,n,n,
23,-0.06,0.88,1.28,1.44,n,n,n,
24,-0.01,0.61,0.81,0.91,n,n,n,
25,0.05,1.38,1.58,1.78,n,n,n,
26,0.15,1.38,1.58,1.78,n,n,n,
27,0.05,1.08,1.08,1.21,n,n,n,
28,-0.04,1.11,1.11,1.24,n,n,n,
29,-0.14,1.11,1.11,1.24,n,n,n,
30,-0.04,1.41,1.41,1.59,n,n,n,
31,-0.00,1.11,1.11,1.24,n,n,n,
32,0.22,1.41,1.41,1.59,n,n,n,
33,-0.24,1.44,1.44,1.62,n,n,n,
34,-0.13,1.74,1.74,1.96,n,n,n,
35,-0.04,1.58,1.58,1.77,n,n,n,
36,-0.17,1.27,1.27,1.43,n,n,n,
37,0.11,1.71,1.71,1.93,n,n,n,
