Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.11,1.55,1.55,1.74,n,n,n,
1,-0.13,1.55,1.55,1.74,n,n,n,
2,-0.32,1.55,1.55,1.74,n,n,n,
3,-0.15,1.85,1.85,2.08,n,n,n,
4,-0.37,1.85,1.85,2.08,n,n,n,
5,-0.11,1.99,1.99,2.24,n,n,n,
6,-0.35,1.99,1.99,2.24,n,n,n,
7,-0.48,1.69,1.69,1.90,n,n,n,
8,-0.16,1.52,1.52,1.71,n,n,n,
9,-0.44,1.82,1.82,2.05,n,n,n,
10,-0.24,1.66,1.66,1.86,n,n,n,
11,-0.52,1.93,1.93,2.18,n,n,n,
12,-0.33,3.04,3.24,3.64,n,n,n,
13,-0.34,5.09,6.68,7.51,n,n,n,
14,-0.53,10.39,13.58,15.27,n,n,n,
15,-0.12,15.45,19.83,22.31,n,n,n,
16,-0.52,18.96,24.14,27.15,n,n,n,
17,-0.18,27.53,33.50,37.69,n,n,n,
18,-0.12,32.07,39.23,44.13,n,n,n,
19,-0.20,34.77,42.54,47.85,n,n,n,
20,-0.33,36.79,44.95,50.57,n,n,n,
21,-0.09,39.34,48.69,54.78,n,n,n,
22,-0.39,42.54,51.90,58.38,n,n,n,
23,-0.42,44.23,53.78,60.50,n,n,n,
24,-0.32,46.47,56.02,63.02,n,n,n,
25,-0.05,47.30,57.22,64.37,n,n,n,
26,-0.00,47.46,57.61,64.81,n,n,n,
27,-0.39,47.77,57.72,64.93,n,n,n,
28,-0.52,48.93,59.08,66.46,n,n,n,
29,-0.69,48.38,58.33,65.62,n,n,n,
30,-0.02,48.49,58.64,65.96,n,n,n,
31,-0.19,46.72,55.47,62.41,n,n,n,
32,-0.29,40.55,47.52,53.46,n,n,n,
33,0.02,34.42,39.99,41.01,n,n,n,
34,-0.04,26.79,31.16,35.06,n,n,n,
35,-0.19,24.32,28.70,32.29,n,n,n,
36,-0.65,20.07,23.05,25.93,n,n,n,
37,-0.82,17.66,20.05,22.56,n,n,n,
38,-0.25,15.04,17.03,19.15,n,n,n,
39,-0.14,13.71,14.71,16.54,n,n,n,
40,-0.64,10.95,11.94,13.43,n,n,n,
41,-0.07,9.26,9.86,8.76,n,n,n,
42,-0.48,6.47,7.07,7.95,n,n,n,
43,-0.92,6.50,6.89,7.76,n,n,n,
44,-0.23,6.16,6.36,7.16,n,n,n,
45,-0.36,5.89,6.09,6.85,n,n,n,
46,-0.61,5.17,5.37,6.04,n,n,n,
47,-0.64,5.47,5.67,6.38,n,n,n,
48,-0.53,4.53,4.73,5.32,n,n,n,
49,-0.71,4.86,5.06,5.70,n,n,n,
50,-0.34,4.70,4.70,5.28,n,n,n,
51,-0.55,3.79,3.79,4.26,n,n,n,
52,-0.30,3.48,3.48,3.92,n,n,n,
53,-0.37,3.45,3.45,3.89,n,n,n,
54,-0.22,3.45,3.45,3.89,n,n,n,
55,-0.07,3.32,3.32,3.73,n,n,n,
56,-0.62,3.76,3.96,4.45,n,n,n,
57,-0.42,2.68,2.68,3.02,n,n,n,
58,-0.30,2.54,2.54,2.86,n,n,n,
59,-0.28,2.54,2.54,2.86,n,n,n,
60,-0.42,2.40,2.40,2.70,n,n,n,
61,-0.13,2.38,2.38,2.67,n,n,n,
62,-0.39,2.54,2.54,2.86,n,n,n,
63,0.03,2.24,2.24,2.52,n,n,n,
64,-0.57,2.24,2.24,2.52,n,n,n,
65,-0.00,2.54,2.74,3.08,n,n,n,
66,-0.10,2.10,2.30,2.59,n,n,n,
67,0.03,1.93,2.13,2.40,n,n,n,
68,-0.23,1.49,1.49,1.68,n,n,n,
69,-0.39,1.66,1.66,1.86,n,n,n,
70,0.04,1.96,1.96,2.21,n,n,n,
71,-0.49,2.10,2.30,2.59,n,n,n,
72,-0.18,2.27,2.47,2.77,n,n,n,
73,-0.24,2.13,2.33,2.62,n,n,n,
74,-0.43,1.66,1.66,1.86,n,n,n,
75,-0.44,1.96,2.16,2.43,n,n,n,
76,-0.43,1.96,2.16,2.43,n,n,n,
77,-0.16,1.96,2.16,2.43,n,n,n,
78,-0.20,2.13,2.53,2.84,n,n,n,
79,-0.43,2.13,2.53,2.84,n,n,n,
80,-0.14,1.52,1.92,2.16,n,n,n,
81,-0.64,1.52,1.72,1.93,n,n,n,
82,-0.01,1.63,1.83,2.06,n,n,n,
83,-0.18,1.77,1.97,2.21,n,n,n,
84,-0.22,1.77,1.77,1.99,n,n,n,
85,-0.52,1.77,1.77,1.99,n,n,n,
86,-0.25,1.91,1.91,2.14,n,n,n,
87,-0.28,1.74,1.74,1.96,n,n,n,
88,-0.26,1.30,1.30,1.46,n,n,n,
89,-0.21,1.44,1.44,1.61,n,n,n,
90,0.03,1.71,1.71,1.93,n,n,n,
91,-0.24,1.27,1.27,1.43,n,n,n,
92,-0.37,1.55,1.55,1.74,n,n,n,
93,-0.47,1.55,1.55,1.74,n,n,n,
94,-0.55,1.82,1.82,2.05,n,n,n,
95,-0.37,1.68,1.68,1.90,n,n,n,
96,-0.76,1.68,1.68,1.90,n,n,n,
97,-0.25,1.85,1.85,2.08,n,n,n,
98,-0.38,1.85,1.85,2.08,n,n,n,
99,-0.36,1.41,1.41,1.58,n,n,n,
100,-0.53,1.74,1.74,1.96,n,n,n,
101,-0.38,1.74,1.74,1.96,n,n,n,
102,-0.41,1.88,1.88,2.11,n,n,n,
103,-0.24,2.49,2.49,2.80,n,n,n,
104,-0.32,2.63,2.63,2.95,n,n,n,
105,-0.30,2.63,2.63,2.95,n,n,n,
106,-0.10,2.49,2.49,2.80,n,n,n,
107,-0.24,2.32,2.32,2.61,n,n,n,
108,-0.32,2.05,2.05,2.30,n,n,n,
109,-0.54,2.05,2.05,2.30,n,n,n,
110,-0.06,1.93,1.93,2.18,n,n,n,
111,-0.45,2.07,2.07,2.33,n,n,n,
112,-0.78,1.93,1.93,2.18,n,n,n,
113,-0.40,2.07,2.27,2.55,n,n,n,
114,-0.39,2.40,1.91,2.14,n,n,n,
115,0.04,1.77,1.77,1.99,n,n,n,
116,-0.43,2.21,2.21,2.49,n,n,n,
117,-0.45,2.07,2.07,2.33,n,n,n,
118,-0.57,1.77,1.77,1.99,n,n,n,
119,0.20,1.77,1.77,1.99,n,n,n,
120,-0.22,1.63,1.63,1.83,n,n,n,
121,-0.04,1.19,1.19,1.34,n,n,n,
122,-0.43,1.35,1.35,1.83,n,n,n,
123,-0.32,1.63,1.63,1.83,n,n,n,
124,-0.23,1.63,1.63,1.83,n,n,n,
125,-0.19,1.63,1.63,1.83,n,n,n,
126,-0.41,1.63,1.63,1.83,n,n,n,
127,-0.13,1.63,1.83,2.06,n,n,n,
128,-0.01,1.63,1.83,2.06,n,n,n,
129,-0.04,1.02,1.02,1.15,n,n,n,
130,-0.65,0.88,0.88,0.65,n,n,n,
131,-0.19,0.41,0.41,0.46,n,n,n,
132,-0.31,0.41,0.41,0.46,n,n,n,
133,-0.42,0.41,0.41,0.46,n,n,n,
134,-0.21,0.72,0.72,0.81,n,n,n,
135,-0.51,1.30,1.30,1.46,n,n,n,
136,-0.37,1.30,1.30,1.46,n,n,n,
137,-0.65,1.44,1.44,1.61,n,n,n,
