Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,0.14,7.85,9.64,10.85,n,n,n,
1,0.03,8.46,10.45,11.75,n,n,n,
2,0.21,8.57,10.16,11.43,n,n,n,
3,-0.07,8.40,10.00,11.24,n,n,n,
4,-0.01,8.27,9.66,10.86,n,n,n,
5,-0.30,7.49,8.88,9.99,n,n,n,
6,-0.31,6.61,8.20,9.22,n,n,n,
7,-0.44,6.36,7.95,8.94,n,n,n,
8,-0.23,5.92,7.31,8.22,n,n,n,
9,-0.17,5.92,6.91,7.77,n,n,n,
10,-0.22,5.94,7.34,8.25,n,n,n,
11,-0.50,6.27,7.47,8.40,n,n,n,
12,-0.07,5.55,6.55,7.37,n,n,n,
13,-0.42,5.39,6.38,7.18,n,n,n,
14,-0.39,5.06,6.05,6.81,n,n,n,
15,-0.32,5.67,6.66,7.49,n,n,n,
16,-0.48,5.03,5.63,6.33,n,n,n,
17,-0.48,5.06,5.26,5.91,n,n,n,
18,-0.20,5.20,5.40,6.07,n,n,n,
19,-0.48,5.22,5.62,6.01,n,n,n,
20,-0.32,4.81,5.21,5.86,n,n,n,
21,-0.17,4.51,4.90,5.51,n,n,n,
22,-0.37,4.51,4.90,5.51,n,n,n,
23,-0.22,4.23,4.83,5.43,n,n,n,
24,-0.33,13.43,15.82,17.80,n,n,n,
25,-0.39,22.80,28.58,35.11,n,n,n,
26,-0.43,48.60,76.46,113.02,n,n,n,
27,-0.51,75.38,119.77,260.55,n,n,n,
28,-0.54,143.75,218.58,311.29,n,n,n,
29,-0.32,182.72,269.10,355.29,n,n,n,
30,-0.33,218.25,315.37,423.75,n,n,n,
31,-0.36,233.64,333.16,441.54,n,n,n,
32,-0.52,272.84,380.72,489.10,n,n,n,
33,-0.33,287.44,396.90,505.29,n,n,n,
34,-0.36,299.38,410.24,518.62,n,n,n,
35,-0.36,329.51,444.35,590.32,n,n,n,
36,-0.44,365.95,485.16,609.22,n,n,n,
37,-0.47,389.97,510.98,635.03,n,n,n,
38,-0.35,411.75,535.15,659.20,n,n,n,
39,-0.17,419.60,542.01,651.70,n,n,n,
40,-0.68,444.57,570.15,679.84,n,n,n,
41,-0.51,446.78,571.17,680.86,n,n,n,
42,-0.39,449.18,574.97,670.29,n,n,n,
43,-0.47,436.52,558.53,576.15,n,n,n,
44,-0.45,371.83,458.61,515.94,n,n,n,
45,-0.57,327.33,392.41,441.46,n,n,n,
46,-0.43,302.42,361.13,406.27,n,n,n,
47,-0.33,273.78,321.95,362.19,n,n,n,
48,-0.41,249.24,289.24,325.39,n,n,n,
49,-0.45,244.54,282.75,318.09,n,n,n,
50,-0.18,220.07,251.72,283.18,n,n,n,
51,-0.51,215.26,246.91,270.26,n,n,n,
52,-0.26,190.55,219.01,246.38,n,n,n,
53,-0.38,181.81,210.07,236.33,n,n,n,
54,-0.37,178.77,206.44,232.24,n,n,n,
55,-0.31,163.68,189.35,213.02,n,n,n,
56,-0.32,157.02,181.30,203.96,n,n,n,
57,-0.48,149.33,172.62,194.19,n,n,n,
58,-0.46,137.97,158.87,178.73,n,n,n,
59,-0.61,130.92,150.82,169.67,n,n,n,
60,-0.47,130.12,150.42,169.22,n,n,n,
61,-0.36,121.71,141.42,159.09,n,n,n,
62,-0.42,112.76,131.47,147.90,n,n,n,
63,-0.32,108.47,127.58,143.53,n,n,n,
