Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.10,2.96,3.55,4.00,n,n,n,
1,-0.13,3.26,4.06,4.56,n,n,n,
2,-0.02,3.26,4.06,4.56,n,n,n,
3,-0.11,3.23,3.83,4.31,n,n,n,
4,-0.14,3.48,4.08,4.59,n,n,n,
5,-0.14,3.48,4.08,4.59,n,n,n,
6,-0.11,3.51,4.31,4.12,n,n,n,
7,-0.08,3.54,4.33,4.87,n,n,n,
8,-0.03,3.07,3.67,4.12,n,n,n,
9,-0.16,3.51,4.31,4.84,n,n,n,
10,-0.11,3.21,3.80,4.28,n,n,n,
11,0.15,3.79,4.19,4.71,n,n,n,
12,-0.11,3.95,4.35,4.89,n,n,n,
13,-0.20,3.81,4.21,4.74,n,n,n,
14,-0.06,3.51,3.91,4.40,n,n,n,
15,-0.05,3.51,3.91,4.40,n,n,n,
16,0.02,3.79,3.99,4.48,n,n,n,
17,-0.16,3.48,3.68,4.14,n,n,n,
18,-0.22,3.76,3.96,4.45,n,n,n,
19,-0.06,3.62,3.62,4.07,n,n,n,
20,0.01,3.62,3.62,4.07,n,n,n,
21,-0.00,13.30,15.68,17.64,n,n,n,
22,-0.13,22.61,27.98,52.35,n,n,n,
23,-0.11,55.84,75.74,85.21,n,n,n,
24,-0.13,80.77,110.83,125.19,n,n,n,
25,-0.11,95.15,128.59,144.66,n,n,n,
26,-0.13,121.66,161.86,182.76,n,n,n,
27,-0.09,143.14,189.11,212.75,n,n,n,
28,-0.21,159.50,209.26,235.42,n,n,n,
29,-0.10,186.68,245.99,276.73,n,n,n,
30,-0.12,201.36,263.85,323.10,n,n,n,
31,0.05,227.51,293.98,330.73,n,n,n,
32,-0.18,227.65,294.12,330.89,n,n,n,
33,-0.19,228.70,295.37,332.29,n,n,n,
34,-0.27,241.11,309.77,348.49,n,n,n,
35,-0.13,253.74,324.00,364.50,n,n,n,
36,-0.03,257.56,328.41,369.46,n,n,n,
37,-0.14,263.19,334.84,376.70,n,n,n,
38,-0.14,278.81,353.05,398.13,n,n,n,
39,-0.01,277.57,349.22,392.87,n,n,n,
40,-0.17,275.99,343.47,386.40,n,n,n,
41,0.03,255.65,315.36,354.78,n,n,n,
42,0.06,228.86,279.61,314.57,n,n,n,
43,-0.13,219.10,267.47,300.90,n,n,n,
44,0.09,194.78,237.57,267.26,n,n,n,
45,-0.06,175.40,212.42,238.97,n,n,n,
46,-0.05,141.18,165.26,185.91,n,n,n,
47,-0.04,133.27,155.36,174.78,n,n,n,
48,0.10,120.53,139.63,157.09,n,n,n,
49,-0.04,113.95,132.26,148.79,n,n,n,
50,-0.10,114.72,132.43,148.99,n,n,n,
51,-0.01,117.43,135.54,152.48,n,n,n,
52,-0.06,112.56,129.88,146.12,n,n,n,
53,-0.04,107.39,124.51,140.07,n,n,n,
54,-0.06,108.72,126.04,141.79,n,n,n,
55,-0.05,93.71,107.64,121.10,n,n,n,
56,-0.13,83.32,95.46,107.39,n,n,n,
57,-0.05,73.89,84.64,95.22,n,n,n,
58,-0.15,63.17,73.12,82.25,n,n,n,
59,0.06,57.22,66.38,74.67,n,n,n,
60,0.06,56.81,66.16,74.43,n,n,n,
61,-0.02,52.72,60.88,68.48,n,n,n,
62,-0.01,46.11,52.88,59.48,n,n,n,
63,-0.07,42.16,48.52,54.59,n,n,n,
64,0.19,38.89,45.46,51.14,n,n,n,
65,-0.04,34.39,40.95,46.07,n,n,n,
66,-0.18,31.29,37.66,42.37,n,n,n,
67,0.02,31.07,37.44,42.12,n,n,n,
68,-0.26,29.91,36.28,40.81,n,n,n,
69,0.09,28.58,34.75,39.10,n,n,n,
70,-0.06,25.98,31.75,35.72,n,n,n,
71,0.23,23.80,29.17,32.82,n,n,n,
72,-0.20,21.48,26.65,29.98,n,n,n,
73,-0.07,20.92,26.30,29.58,n,n,n,
74,-0.20,20.73,26.50,29.81,n,n,n,
75,-0.13,20.18,26.15,29.42,n,n,n,
76,-0.27,19.96,25.73,28.94,n,n,n,
77,-0.18,19.02,24.59,27.66,n,n,n,
78,-0.12,16.78,21.55,24.25,n,n,n,
79,0.03,16.14,20.72,23.31,n,n,n,
80,-0.05,16.36,21.34,24.01,n,n,n,
81,-0.07,15.45,20.43,22.98,n,n,n,
82,-0.06,16.23,21.20,23.85,n,n,n,
83,0.04,16.34,20.32,22.85,n,n,n,
84,0.16,15.45,19.03,21.41,n,n,n,
85,-0.01,14.82,17.80,20.03,n,n,n,
86,-0.03,14.04,17.82,20.05,n,n,n,
87,-0.15,13.41,17.19,19.34,n,n,n,
88,-0.28,12.55,16.13,18.15,n,n,n,
89,-0.18,12.49,16.27,18.31,n,n,n,
90,-0.26,12.19,15.97,17.97,n,n,n,
91,-0.06,12.30,16.08,18.09,n,n,n,
92,-0.12,11.47,15.25,17.16,n,n,n,
93,-0.01,10.97,14.36,16.15,n,n,n,
94,-0.06,10.50,13.69,15.40,n,n,n,
95,-0.07,10.50,13.69,15.40,n,n,n,
96,-0.05,10.67,13.85,15.59,n,n,n,
97,0.03,9.90,13.08,14.71,n,n,n,
98,-0.04,9.87,12.65,14.23,n,n,n,
99,-0.05,9.84,11.83,13.31,n,n,n,
100,-0.28,9.37,11.16,12.56,n,n,n,
101,-0.11,9.78,11.77,13.25,n,n,n,
102,-0.19,10.06,12.05,13.56,n,n,n,
103,-0.25,9.43,10.82,12.17,n,n,n,
104,0.21,9.56,10.56,11.88,n,n,n,
105,-0.16,9.43,10.42,11.72,n,n,n,
106,0.13,9.18,9.97,11.22,n,n,n,
107,-0.18,8.82,9.42,10.59,n,n,n,
108,-0.19,8.82,9.22,10.37,n,n,n,
109,0.16,8.85,9.24,10.40,n,n,n,
110,0.03,8.87,9.27,10.43,n,n,n,
111,-0.14,7.85,8.05,9.06,n,n,n,
112,-0.13,7.85,8.25,9.28,n,n,n,
113,-0.06,7.35,7.75,8.72,n,n,n,
114,-0.12,7.93,8.53,9.60,n,n,n,
115,-0.02,7.77,8.56,9.63,n,n,n,
116,-0.16,6.99,7.79,8.76,n,n,n,
117,-0.15,6.83,7.62,8.57,n,n,n,
118,-0.19,6.33,6.93,7.01,n,n,n,
119,-0.01,4.81,5.41,6.08,n,n,n,
120,-0.20,5.53,6.52,7.34,n,n,n,
121,0.11,5.67,6.66,7.49,n,n,n,
122,-0.09,5.36,6.36,7.15,n,n,n,
123,-0.01,5.36,6.36,7.15,n,n,n,
124,-0.19,4.75,5.55,6.24,n,n,n,
125,-0.18,4.73,5.92,6.66,n,n,n,
126,-0.11,4.73,6.12,6.73,n,n,n,
127,-0.08,4.26,5.65,6.36,n,n,n,
128,0.05,4.84,6.63,7.46,n,n,n,
129,0.14,5.17,6.96,7.83,n,n,n,
130,-0.01,5.72,7.31,8.23,n,n,n,
131,0.48,5.72,7.11,8.00,n,n,n,
132,1.17,6.08,7.67,8.63,n,n,n,
133,1.44,6.08,7.67,8.63,n,n,n,
134,1.18,5.50,6.89,7.75,n,n,n,
135,1.38,5.53,6.72,7.56,n,n,n,
136,1.48,5.83,7.23,8.13,n,n,n,
137,1.70,5.67,7.06,7.94,n,n,n,
138,1.64,4.95,5.74,6.46,n,n,n,
139,1.61,4.70,5.49,6.18,n,n,n,
140,1.60,4.56,5.55,6.25,n,n,n,
141,1.05,5.45,6.84,7.69,n,n,n,
142,1.79,5.45,6.64,7.47,n,n,n,
143,1.49,5.03,5.63,6.33,n,n,n,
144,1.63,5.20,5.99,6.74,n,n,n,
145,1.76,5.75,6.55,7.36,n,n,n,
146,1.46,5.61,6.41,7.21,n,n,n,
147,1.81,5.61,6.61,7.43,n,n,n,
148,1.51,5.20,6.19,6.96,n,n,n,
149,1.81,5.03,6.42,7.23,n,n,n,
150,1.47,4.56,5.95,6.70,n,n,n,
151,1.89,4.81,6.40,7.20,n,n,n,
152,1.70,4.53,6.32,7.11,n,n,n,
153,1.83,5.17,7.16,8.05,n,n,n,
154,1.76,6.05,8.04,9.05,n,n,n,
155,1.44,6.50,8.29,9.32,n,n,n,
156,1.66,6.52,8.51,9.58,n,n,n,
157,1.84,6.97,8.96,10.07,n,n,n,
158,1.86,6.80,8.59,9.66,n,n,n,
159,1.77,5.75,7.34,8.26,n,n,n,
160,1.66,5.42,7.01,7.89,n,n,n,
161,1.77,5.42,7.01,7.89,n,n,n,
162,1.75,5.89,8.08,9.09,n,n,n,
163,1.73,5.61,7.80,8.77,n,n,n,
164,1.74,5.31,7.10,7.99,n,n,n,
165,1.69,5.61,7.20,8.10,n,n,n,
166,1.48,5.31,6.70,7.54,n,n,n,
167,1.68,5.28,6.67,7.51,n,n,n,
168,1.57,5.39,6.19,6.96,n,n,n,
169,1.79,4.84,5.43,6.11,n,n,n,
170,1.63,4.98,5.57,6.27,n,n,n,
171,1.67,4.98,6.37,7.16,n,n,n,
172,1.74,4.09,5.48,6.17,n,n,n,
173,1.54,4.23,5.62,6.32,n,n,n,
174,1.81,3.76,4.75,5.35,n,n,n,
175,1.76,3.57,4.96,6.33,n,n,n,
176,1.53,4.17,5.77,6.49,n,n,n,
177,2.05,3.73,4.93,5.54,n,n,n,
178,1.81,3.87,5.06,5.70,n,n,n,
179,1.87,4.15,5.34,6.01,n,n,n,
180,1.82,4.73,6.12,6.88,n,n,n,
181,1.85,4.59,5.98,6.73,n,n,n,
182,1.84,4.73,6.12,6.88,n,n,n,
183,1.98,4.73,6.12,6.88,n,n,n,
184,1.70,4.89,6.28,7.07,n,n,n,
185,1.85,4.89,6.28,7.07,n,n,n,
186,1.60,4.51,5.90,6.64,n,n,n,
187,1.53,4.62,5.81,6.54,n,n,n,
188,1.86,4.59,5.78,6.50,n,n,n,
189,1.69,4.89,5.49,6.18,n,n,n,
190,1.86,4.75,5.35,6.02,n,n,n,
191,1.91,4.62,5.21,5.86,n,n,n,
192,2.00,4.51,4.90,5.51,n,n,n,
193,1.93,4.51,4.90,5.51,n,n,n,
194,1.97,4.98,5.17,5.82,n,n,n,
195,1.98,5.11,5.31,5.98,n,n,n,
196,1.90,4.98,5.17,5.82,n,n,n,
197,1.79,5.34,5.73,6.45,n,n,n,
198,1.74,5.20,5.40,6.07,n,n,n,
199,1.76,4.92,5.12,5.76,n,n,n,
200,1.77,4.95,5.15,5.79,n,n,n,
201,1.86,5.09,5.28,5.95,n,n,n,
202,1.86,4.81,5.01,5.63,n,n,n,
203,1.71,4.67,4.87,5.48,n,n,n,
204,1.93,4.23,4.23,4.76,n,n,n,
205,1.97,4.09,4.09,4.60,n,n,n,
206,1.89,3.95,3.95,4.45,n,n,n,
207,1.74,4.09,4.49,5.05,n,n,n,
208,1.96,3.76,3.96,4.45,n,n,n,
209,1.99,3.76,3.96,4.45,n,n,n,
210,2.04,3.93,4.12,4.64,n,n,n,
211,1.82,3.95,4.15,4.67,n,n,n,
212,1.98,3.62,3.82,4.30,n,n,n,
213,1.82,3.34,3.74,4.21,n,n,n,
214,1.79,4.09,4.49,5.05,n,n,n,
215,2.12,3.76,4.16,4.68,n,n,n,
216,1.86,3.62,4.02,4.52,n,n,n,
217,1.88,3.79,4.18,4.71,n,n,n,
218,1.79,3.34,3.74,4.21,n,n,n,
219,1.97,3.34,3.74,4.21,n,n,n,
220,2.03,3.51,4.31,4.84,n,n,n,
221,2.10,3.21,4.00,4.50,n,n,n,
222,1.82,3.51,4.31,4.84,n,n,n,
223,2.13,3.37,4.37,4.91,n,n,n,
224,1.99,3.37,4.76,5.51,n,n,n,
225,2.06,3.81,5.41,6.08,n,n,n,
226,1.87,4.12,5.71,6.42,n,n,n,
227,1.88,4.23,5.82,6.55,n,n,n,
228,2.30,4.06,5.46,6.14,n,n,n,
229,2.03,4.37,5.96,6.70,n,n,n,
230,2.03,3.79,5.18,5.83,n,n,n,
231,1.79,3.93,5.52,6.21,n,n,n,
232,1.92,3.18,4.57,5.14,n,n,n,
233,1.99,3.18,4.97,5.59,n,n,n,
234,1.99,2.85,4.44,4.99,n,n,n,
235,1.87,2.85,4.44,4.99,n,n,n,
236,1.99,3.54,5.13,5.77,n,n,n,
237,1.82,3.12,4.51,5.08,n,n,n,
238,2.09,2.96,4.15,4.67,n,n,n,
239,1.94,3.12,3.92,4.41,n,n,n,
240,1.86,3.10,4.09,4.60,n,n,n,
