Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.11,3.84,3.84,4.32,n,n,n,
1,-0.21,3.68,3.68,4.13,n,n,n,
2,-0.13,3.34,3.34,3.76,n,n,n,
3,0.01,3.34,3.34,3.76,n,n,n,
4,0.09,3.21,3.21,3.61,n,n,n,
5,0.03,2.65,2.65,2.98,n,n,n,
6,0.07,1.96,1.96,2.21,n,n,n,
7,0.09,1.99,1.99,2.70,n,n,n,
8,-0.06,2.40,2.40,2.70,n,n,n,
9,0.05,2.43,2.43,2.73,n,n,n,
10,0.01,2.29,2.29,2.58,n,n,n,
11,0.02,2.43,2.43,2.73,n,n,n,
12,-0.01,2.43,2.43,2.73,n,n,n,
13,0.03,1.96,1.96,2.21,n,n,n,
14,0.06,1.80,1.80,2.02,n,n,n,
15,-0.07,2.24,2.24,2.52,n,n,n,
16,-0.20,2.68,2.88,3.24,n,n,n,
17,0.03,2.24,2.24,2.52,n,n,n,
18,0.23,2.07,2.07,2.33,n,n,n,
19,-0.06,2.65,2.65,2.98,n,n,n,
20,-0.02,2.98,2.98,3.36,n,n,n,
21,0.07,2.82,2.82,3.17,n,n,n,
22,0.08,3.10,3.10,3.48,n,n,n,
23,-0.03,3.54,3.74,4.20,n,n,n,
24,-0.07,6.33,6.53,7.34,n,n,n,
25,-0.14,5.75,6.15,6.92,n,n,n,
26,0.13,5.75,6.15,6.92,n,n,n,
27,-0.06,5.75,6.15,6.92,n,n,n,
28,-0.11,12.52,13.92,15.65,n,n,n,
29,-0.18,37.10,54.41,61.21,n,n,n,
30,-0.14,60.29,86.56,113.98,n,n,n,
31,-0.14,78.29,112.92,164.11,n,n,n,
32,0.13,115.33,160.31,240.22,n,n,n,
33,-0.01,134.46,185.01,272.76,n,n,n,
34,0.06,151.96,210.27,274.26,n,n,n,
35,-0.04,173.66,238.14,332.42,n,n,n,
36,-0.10,184.58,252.05,352.86,n,n,n,
37,0.06,211.78,285.42,386.23,n,n,n,
38,0.12,221.70,297.53,374.57,n,n,n,
39,0.07,246.55,326.76,403.80,n,n,n,
40,-0.07,289.65,376.83,453.87,n,n,n,
41,-0.05,306.79,397.75,511.61,n,n,n,
42,-0.04,319.73,411.28,525.15,n,n,n,
43,-0.05,338.52,432.67,546.53,n,n,n,
44,0.03,359.84,454.97,552.91,n,n,n,
45,-0.05,374.82,473.14,594.84,n,n,n,
46,0.13,371.42,469.34,559.44,n,n,n,
47,-0.03,337.86,421.45,460.14,n,n,n,
48,-0.02,305.43,375.29,437.97,n,n,n,
49,0.08,293.85,361.12,406.26,n,n,n,
50,-0.03,274.09,334.59,376.41,n,n,n,
51,-0.14,262.84,318.96,359.44,n,n,n,
52,-0.03,249.62,297.79,338.27,n,n,n,
53,0.04,233.48,277.07,311.70,n,n,n,
54,0.03,228.28,269.68,303.39,n,n,n,
55,0.03,205.75,242.57,269.68,n,n,n,
56,-0.11,178.55,208.60,236.02,n,n,n,
57,-0.19,158.26,184.73,212.15,n,n,n,
58,0.13,144.91,168.59,196.01,n,n,n,
59,0.09,132.50,152.80,171.90,n,n,n,
60,0.12,128.29,149.19,170.08,n,n,n,
61,0.08,116.63,134.74,155.63,n,n,n,
62,0.10,105.21,121.73,136.95,n,n,n,
63,-0.07,101.95,117.07,126.15,n,n,n,
64,-0.02,96.20,110.13,123.90,n,n,n,
65,-0.07,85.86,97.60,109.80,n,n,n,
66,-0.21,83.87,95.01,106.89,n,n,n,
67,-0.13,76.99,87.73,98.70,n,n,n,
68,-0.14,73.92,85.06,95.70,n,n,n,
69,-0.14,68.08,77.84,87.57,n,n,n,
70,0.04,64.60,74.55,83.87,n,n,n,
71,-0.02,58.91,67.47,71.36,n,n,n,
72,-0.00,54.54,61.51,69.19,n,n,n,
73,-0.09,56.39,62.96,70.83,n,n,n,
74,-0.14,56.89,63.66,71.61,n,n,n,
75,-0.24,55.78,62.55,70.37,n,n,n,
76,-0.06,55.29,61.65,69.36,n,n,n,
77,-0.15,54.35,61.31,68.98,n,n,n,
78,-0.12,52.13,59.10,66.49,n,n,n,
79,-0.01,49.56,56.33,56.73,n,n,n,
80,-0.03,40.69,46.46,52.27,n,n,n,
81,0.15,38.06,43.64,49.09,n,n,n,
82,-0.03,35.36,40.73,45.82,n,n,n,
83,-0.07,34.97,40.74,45.83,n,n,n,
84,0.00,32.62,38.59,43.41,n,n,n,
85,-0.03,32.15,37.72,42.44,n,n,n,
86,-0.00,31.87,37.05,41.68,n,n,n,
87,-0.03,31.18,36.16,38.00,n,n,n,
88,-0.03,27.53,32.31,36.35,n,n,n,
89,0.01,27.42,32.00,36.00,n,n,n,
90,-0.16,26.07,30.44,34.25,n,n,n,
91,-0.01,22.86,27.04,30.42,n,n,n,
92,-0.04,21.39,25.37,28.55,n,n,n,
93,-0.18,21.51,25.68,28.89,n,n,n,
94,-0.04,21.39,25.57,28.77,n,n,n,
95,-0.05,20.79,23.97,26.97,n,n,n,
96,0.11,18.58,21.76,24.48,n,n,n,
97,0.05,18.88,22.26,25.04,n,n,n,
98,0.04,18.46,21.45,24.13,n,n,n,
99,-0.10,19.16,22.14,24.91,n,n,n,
