Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, counts:0.5, 1.0, 2.5, 5.0, 7.5, 10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.14,1.82,3.02,3.40,13,12,12,0,0,0,n,n,n,
1,-0.35,1.82,3.02,3.40,13,12,12,0,0,0,n,n,n,
2,0.06,1.49,2.69,3.02,13,10,12,0,0,0,n,n,n,
3,-0.03,1.49,2.69,3.02,13,10,12,0,0,0,n,n,n,
4,-0.31,1.49,2.69,3.02,12,9,13,0,0,0,n,n,n,
5,-0.28,1.96,3.36,3.77,13,11,13,0,0,0,n,n,n,
6,-0.14,1.96,3.36,3.77,9,12,14,0,0,0,n,n,n,
7,-0.37,1.85,3.44,3.87,11,12,14,0,0,0,n,n,n,
8,-0.12,1.99,3.58,4.03,11,12,14,0,0,0,n,n,n,
9,-0.22,1.85,3.44,3.87,10,12,14,0,0,0,n,n,n,
10,-0.13,1.99,3.18,3.58,11,12,11,0,0,0,n,n,n,
11,0.00,2.13,3.32,3.74,13,12,11,0,0,0,n,n,n,
12,-0.23,1.80,2.99,3.36,13,10,11,0,0,0,n,n,n,
13,-0.26,1.63,2.63,2.95,14,10,11,0,0,0,n,n,n,
14,-0.11,1.96,3.16,3.55,13,13,13,0,0,0,n,n,n,
15,0.01,1.82,3.02,3.40,13,13,8,0,0,0,n,n,n,
16,-0.34,1.66,2.26,2.54,13,11,8,0,0,0,n,n,n,
17,-0.16,1.82,2.42,2.72,12,13,8,0,0,0,n,n,n,
18,-0.19,1.69,2.28,2.57,11,13,8,0,0,0,n,n,n,
19,-0.18,1.99,3.18,3.58,11,13,11,0,0,0,n,n,n,
20,-0.21,4.59,7.18,8.07,24,27,23,0,0,0,n,n,n,
21,-0.05,12.83,17.60,19.80,78,67,41,1,0,0,n,n,n,
22,0.05,22.36,29.93,33.67,163,161,78,1,0,0,n,n,n,
23,-0.19,29.60,38.76,45.81,173,168,78,1,0,0,n,n,n,
24,-0.26,32.12,41.08,46.21,180,169,77,1,0,0,n,n,n,
25,0.00,32.01,40.77,45.86,179,173,74,1,0,0,n,n,n,
26,-0.15,32.43,41.18,46.33,184,173,75,1,0,0,n,n,n,
27,-0.17,33.12,42.27,47.55,190,173,78,1,0,0,n,n,n,
28,-0.19,32.81,41.77,46.99,190,173,78,1,0,0,n,n,n,
29,-0.20,34.97,44.32,49.86,280,264,141,1,0,0,n,n,n,
30,-0.04,50.28,66.60,74.93,352,342,231,3,0,0,n,n,n,
31,-0.18,83.21,121.02,161.50,445,418,320,9,3,0,n,n,n,
32,-0.36,108.58,157.35,189.99,555,554,418,11,3,0,n,n,n,
33,-0.21,133.63,191.94,231.12,666,670,498,12,3,0,n,n,n,
34,-0.24,162.43,231.70,270.87,763,813,592,13,3,0,n,n,n,
35,-0.27,191.71,270.52,330.59,879,923,666,15,3,0,n,n,n,
36,-0.22,222.97,311.94,372.01,1018,1039,753,16,5,0,n,n,n,
37,-0.43,255.73,351.07,417.66,1257,1266,846,17,5,0,n,n,n,
38,-0.28,281.88,381.60,448.19,1312,1320,857,17,5,0,n,n,n,
39,-0.06,311.76,414.46,488.89,1378,1351,862,16,5,0,n,n,n,
40,-0.46,318.45,421.35,495.78,1408,1369,865,16,5,0,n,n,n,
41,-0.42,332.52,436.62,511.05,1487,1406,875,16,5,0,n,n,n,
42,-0.14,342.09,446.58,506.65,1548,1437,884,16,5,0,n,n,n,
43,-0.30,358.95,464.83,524.90,1627,1484,898,16,5,0,n,n,n,
44,-0.23,367.41,473.49,533.56,1679,1519,906,16,5,0,n,n,n,
45,-0.17,375.51,482.59,542.91,1751,1560,911,16,5,0,n,n,n,
46,-0.60,383.50,490.58,577.59,1768,1562,909,17,5,0,n,n,n,
47,-0.26,367.66,468.97,536.87,1701,1498,854,15,5,0,n,n,n,
48,-0.50,342.14,431.91,485.89,1648,1431,765,13,5,0,n,n,n,
49,0.00,318.43,398.44,448.24,1581,1368,686,10,2,0,n,n,n,
