Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, counts:0.5, 1.0, 2.5, 5.0, 7.5, 10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,0.54,2.43,2.43,2.73,15,14,1,0,0,0,n,n,n,
1,0.03,1.96,1.96,2.21,15,13,1,0,0,0,n,n,n,
2,0.76,2.27,2.27,2.55,15,12,1,0,0,0,n,n,n,
3,0.17,1.96,1.96,2.43,15,13,4,0,0,0,n,n,n,
4,0.64,1.96,1.96,2.21,15,13,3,0,0,0,n,n,n,
5,0.10,1.82,1.82,2.05,13,13,3,0,0,0,n,n,n,
6,0.05,2.29,2.49,2.80,13,14,3,0,0,0,n,n,n,
7,0.03,2.29,2.49,2.80,13,14,3,0,0,0,n,n,n,
8,0.28,2.29,2.49,2.80,13,14,3,0,0,0,n,n,n,
9,0.21,2.29,2.69,3.03,13,14,4,0,0,0,n,n,n,
10,0.15,1.99,2.19,2.46,8,12,4,0,0,0,n,n,n,
11,0.29,1.41,1.61,2.69,13,14,6,0,0,0,n,n,n,
12,0.26,1.99,2.39,2.69,13,14,6,0,0,0,n,n,n,
13,0.16,1.99,2.39,2.69,13,14,6,0,0,0,n,n,n,
14,0.06,3.87,4.67,5.25,28,17,8,0,0,0,n,n,n,
15,0.06,7.57,8.57,9.64,55,32,10,0,0,0,n,n,n,
16,0.26,9.56,11.95,13.45,67,46,23,0,0,0,n,n,n,
17,0.16,11.47,15.65,17.61,94,65,48,0,0,0,n,n,n,
18,0.30,13.90,19.48,21.91,120,81,59,0,0,0,n,n,n,
19,-0.30,17.77,24.74,33.83,153,96,66,0,0,0,n,n,n,
20,0.01,29.99,38.15,44.68,209,125,69,2,0,0,n,n,n,
21,0.16,33.89,42.65,49.18,236,145,74,2,0,0,n,n,n,
22,-0.25,37.57,46.32,52.85,253,167,74,2,0,0,n,n,n,
23,-0.30,41.74,51.29,57.71,281,185,83,2,0,0,n,n,n,
24,-0.35,43.73,53.68,60.39,302,189,86,2,0,0,n,n,n,
25,-0.14,45.33,55.29,62.20,319,204,89,2,0,0,n,n,n,
26,0.03,46.16,56.31,63.35,330,208,89,2,0,0,n,n,n,
27,0.32,50.03,60.58,68.15,338,219,91,2,0,0,n,n,n,
28,0.60,50.92,61.67,69.37,342,220,92,2,0,0,n,n,n,
29,0.29,50.48,61.02,68.65,339,218,90,2,0,0,n,n,n,
30,-0.02,51.03,61.78,69.50,345,218,91,2,0,0,n,n,n,
31,0.22,52.11,62.86,70.71,350,226,91,2,0,0,n,n,n,
32,0.08,49.76,59.91,67.39,337,220,89,2,0,0,n,n,n,
33,0.27,46.63,56.59,63.66,311,194,79,2,0,0,n,n,n,
34,0.19,45.50,54.85,61.71,299,189,64,2,0,0,n,n,n,
35,-0.02,42.38,48.74,55.27,289,180,54,2,0,0,n,n,n,
36,0.53,38.98,43.95,50.48,266,167,43,2,0,0,n,n,n,
37,0.13,34.58,38.96,45.49,234,153,37,2,0,0,n,n,n,
38,0.51,26.73,30.51,34.32,181,124,34,0,0,0,n,n,n,
39,-0.04,22.58,25.37,28.54,153,108,26,0,0,0,n,n,n,
40,0.18,19.35,22.14,24.90,138,86,26,0,0,0,n,n,n,
41,-0.17,15.92,17.91,20.15,91,65,14,0,0,0,n,n,n,
42,0.31,13.77,15.36,17.28,76,59,13,0,0,0,n,n,n,
43,0.25,11.19,12.39,13.94,76,52,11,0,0,0,n,n,n,
44,-0.08,10.45,11.44,12.87,72,48,10,0,0,0,n,n,n,
45,0.22,9.48,10.28,11.56,69,39,8,0,0,0,n,n,n,
46,0.06,8.60,9.19,10.34,65,38,7,0,0,0,n,n,n,
47,0.16,8.76,9.36,10.53,65,39,7,0,0,0,n,n,n,
48,-0.15,8.35,8.94,10.06,60,40,7,0,0,0,n,n,n,
49,0.09,7.57,8.37,9.42,54,30,7,0,0,0,n,n,n,
50,0.14,7.24,8.04,9.04,48,29,7,0,0,0,n,n,n,
51,0.07,5.94,5.94,6.68,44,28,2,0,0,0,n,n,n,
52,0.18,6.08,6.28,7.06,44,26,2,0,0,0,n,n,n,
53,0.16,5.31,5.31,5.97,42,23,2,0,0,0,n,n,n,
54,0.18,5.14,5.14,5.78,42,21,2,0,0,0,n,n,n,
55,0.18,5.14,5.14,5.78,42,21,1,0,0,0,n,n,n,
56,0.05,5.34,5.53,6.23,40,22,2,0,0,0,n,n,n,
57,0.22,4.84,5.04,5.67,38,17,2,0,0,0,n,n,n,
58,-0.01,4.39,4.39,4.94,38,17,2,0,0,0,n,n,n,
59,0.29,4.53,4.53,5.10,39,17,2,0,0,0,n,n,n,
60,-0.01,4.53,4.53,5.10,40,17,2,0,0,0,n,n,n,
61,0.36,4.23,4.23,4.76,38,16,2,0,0,0,n,n,n,
62,0.58,4.15,4.34,4.89,31,17,2,0,0,1,n,n,n,
63,0.11,3.87,4.07,4.58,28,18,2,0,0,1,n,n,n,
64,0.14,4.62,4.82,5.42,32,21,2,0,0,1,n,n,n,
65,0.03,4.31,4.51,5.07,32,18,1,0,0,1,n,n,n,
66,0.16,4.28,4.28,4.82,35,18,1,0,0,1,n,n,n,
67,-0.01,4.42,4.62,5.20,35,18,2,0,0,1,n,n,n,
68,0.36,4.12,4.12,4.63,35,18,2,0,0,1,n,n,n,
69,0.54,4.12,4.12,4.63,34,17,2,0,0,1,n,n,n,
70,0.35,3.98,3.98,4.48,32,17,2,0,0,1,n,n,n,
71,0.24,3.98,3.98,4.48,33,17,2,0,0,1,n,n,n,
72,0.26,4.45,4.65,5.23,33,19,3,0,0,1,n,n,n,
73,0.04,4.28,4.48,5.04,36,17,3,0,0,1,n,n,n,
74,-0.07,4.56,4.76,5.35,34,17,3,0,0,1,n,n,n,
75,0.00,4.28,4.48,5.04,33,18,3,0,0,1,n,n,n,
76,0.29,4.42,4.62,5.20,35,17,3,0,0,1,n,n,n,
77,0.44,4.45,4.65,5.23,33,20,3,0,0,1,n,n,n,
78,-0.05,4.78,4.98,5.60,32,23,3,0,0,1,n,n,n,
79,0.40,4.78,4.98,5.60,32,23,3,0,0,1,n,n,n,
80,0.43,4.92,5.12,5.76,34,23,3,0,0,0,n,n,n,
81,0.34,4.31,4.31,4.85,29,20,4,0,0,0,n,n,n,
82,-0.03,3.87,4.07,4.58,28,20,4,0,0,0,n,n,n,
83,0.06,4.17,4.57,5.14,30,20,4,0,0,0,n,n,n,
84,0.39,4.89,5.29,5.95,36,21,5,0,0,0,n,n,n,
85,0.29,4.75,5.15,5.80,35,21,4,0,0,0,n,n,n,
86,-0.03,4.28,4.48,5.04,34,20,4,0,0,0,n,n,n,
87,0.47,4.15,4.34,4.89,33,20,4,0,0,0,n,n,n,
88,0.24,4.28,4.48,5.04,34,20,4,0,0,0,n,n,n,
89,0.10,4.28,4.48,5.04,32,16,3,0,0,0,n,n,n,
90,-0.10,3.81,3.81,4.29,31,16,3,0,0,0,n,n,n,
91,0.13,3.40,3.40,3.82,27,16,2,0,0,0,n,n,n,
92,-0.17,3.40,3.40,3.82,27,16,2,0,0,0,n,n,n,
93,0.08,3.23,3.23,3.64,28,15,2,0,0,0,n,n,n,
94,0.01,3.68,3.87,4.36,30,14,2,0,0,0,n,n,n,
95,0.24,3.62,3.82,4.30,33,11,2,0,0,0,n,n,n,
96,0.58,3.70,3.70,4.17,39,9,2,0,0,0,n,n,n,
97,0.25,3.70,3.70,4.17,37,10,2,0,0,0,n,n,n,
98,0.12,3.57,3.57,4.42,36,9,2,0,0,0,n,n,n,
99,0.60,3.26,3.26,3.67,36,7,1,0,0,0,n,n,n,
100,0.19,3.40,3.40,3.82,37,7,1,0,0,0,n,n,n,
101,0.59,3.40,3.40,3.82,37,7,1,0,0,0,n,n,n,
102,0.13,2.24,2.24,2.52,27,5,0,0,0,0,n,n,n,
103,0.75,2.24,2.24,2.52,27,5,0,0,0,0,n,n,n,
104,0.17,2.85,2.85,3.20,30,6,1,0,0,0,n,n,n,
105,0.14,3.01,3.01,3.39,31,7,1,0,0,0,n,n,n,
106,0.46,3.15,3.15,3.23,28,7,1,0,0,0,n,n,n,
107,0.29,2.87,2.87,3.23,27,7,1,0,0,0,n,n,n,
108,0.50,2.87,2.87,3.23,27,7,1,0,0,0,n,n,n,
109,0.34,3.15,3.15,3.54,31,8,1,0,0,0,n,n,n,
110,0.44,2.98,2.98,3.36,32,8,1,0,0,0,n,n,n,
111,0.37,3.15,3.15,3.54,33,9,1,0,0,0,n,n,n,
112,0.38,3.07,3.07,3.45,28,13,1,0,0,0,n,n,n,
113,0.50,2.79,2.79,3.14,20,12,2,0,0,0,n,n,n,
114,0.32,2.38,2.38,2.67,20,12,2,0,0,0,n,n,n,
115,-0.03,2.21,2.21,2.49,19,11,2,0,0,0,n,n,n,
116,0.40,2.65,2.65,2.98,23,12,2,0,0,0,n,n,n,
117,0.40,2.96,3.16,3.55,23,12,2,0,0,0,n,n,n,
118,-0.10,2.96,3.16,3.55,22,13,2,0,0,0,n,n,n,
119,0.16,2.54,2.74,3.08,18,13,2,0,0,0,n,n,n,
120,0.35,2.54,2.74,3.08,18,13,2,0,0,0,n,n,n,
121,0.30,2.24,2.24,2.52,15,13,1,0,0,0,n,n,n,
122,-0.29,1.96,1.96,2.36,15,11,1,0,0,0,n,n,n,
123,0.31,2.13,2.13,2.39,13,13,1,0,0,0,n,n,n,
124,0.13,2.27,2.27,2.55,14,13,1,0,0,0,n,n,n,
125,0.53,2.54,2.54,2.86,17,13,1,0,0,0,n,n,n,
126,0.55,2.87,2.87,3.23,17,16,1,0,0,0,n,n,n,
127,0.07,2.60,2.60,2.92,15,16,1,0,0,0,n,n,n,
128,0.22,2.90,2.90,3.26,16,17,1,0,0,0,n,n,n,
129,0.33,2.60,2.60,2.92,15,13,1,0,0,0,n,n,n,
130,0.61,2.27,2.27,3.39,20,16,0,0,0,0,n,n,n,
131,0.78,3.01,3.21,3.61,19,16,2,0,0,0,n,n,n,
132,0.63,3.18,3.58,4.02,19,17,5,0,0,0,n,n,n,
133,1.12,2.87,3.27,3.68,19,17,6,0,0,0,n,n,n,
134,0.19,2.74,3.13,3.52,17,18,6,0,0,0,n,n,n,
135,0.18,3.04,3.44,3.87,20,20,6,0,0,0,n,n,n,
136,0.93,3.34,3.94,4.43,20,19,6,0,0,0,n,n,n,
137,0.45,3.48,4.08,4.59,22,20,6,0,0,0,n,n,n,
138,-0.13,3.62,4.22,4.97,22,20,7,0,0,0,n,n,n,
139,0.18,3.62,4.42,4.97,22,19,7,0,0,0,n,n,n,
140,0.33,3.45,4.05,4.56,25,20,7,0,0,0,n,n,n,
141,0.57,3.59,4.39,4.94,25,18,7,0,0,0,n,n,n,
142,0.57,3.29,4.08,4.59,24,18,9,0,0,0,n,n,n,
143,0.24,3.32,4.51,5.07,21,18,11,0,0,0,n,n,n,
144,0.32,3.12,4.32,4.86,22,15,11,0,0,0,n,n,n,
145,0.29,2.85,4.04,4.55,19,13,11,0,0,0,n,n,n,
146,0.49,2.68,3.88,4.39,19,16,12,0,0,0,n,n,n,
147,0.29,2.40,3.60,4.05,18,15,12,0,0,0,n,n,n,
148,0.01,1.82,3.02,3.40,13,12,12,0,0,0,n,n,n,
149,0.09,2.40,3.40,3.82,16,12,10,0,0,0,n,n,n,
150,0.30,2.24,3.03,3.41,16,11,8,0,0,0,n,n,n,
151,0.67,2.35,3.15,3.54,19,10,7,0,0,0,n,n,n,
152,0.22,2.21,3.01,3.38,17,9,7,0,0,0,n,n,n,
153,0.30,1.77,2.56,2.88,14,7,8,0,0,0,n,n,n,
154,0.43,1.77,2.56,2.73,13,8,8,0,0,0,n,n,n,
155,0.48,1.63,2.43,2.73,12,8,8,0,0,0,n,n,n,
156,0.42,2.40,3.20,3.60,16,12,7,0,0,0,n,n,n,
157,0.54,2.57,3.37,3.79,16,14,7,0,0,0,n,n,n,
158,0.44,2.29,3.09,3.48,13,14,8,0,0,0,n,n,n,
159,0.50,2.76,3.56,4.00,14,17,8,0,0,0,n,n,n,
160,0.41,2.90,3.50,3.94,16,17,6,0,0,0,n,n,n,
161,0.18,2.74,2.93,3.30,17,17,4,0,0,0,n,n,n,
162,0.60,2.74,2.93,3.46,19,17,4,0,0,0,n,n,n,
163,0.45,2.87,3.07,3.46,19,17,4,0,0,0,n,n,n,
164,0.33,2.54,2.54,2.86,20,15,3,0,0,0,n,n,n,
165,0.36,2.98,2.98,3.36,22,16,3,0,0,0,n,n,n,
166,0.37,2.98,2.98,3.36,22,16,3,0,0,0,n,n,n,
167,0.29,3.40,3.40,3.82,27,16,3,0,0,0,n,n,n,
168,0.22,3.70,3.90,4.39,27,16,2,0,0,0,n,n,n,
169,0.35,3.43,3.63,4.08,26,15,2,0,0,0,n,n,n,
170,0.19,3.10,3.10,3.86,26,18,1,0,0,0,n,n,n,
171,0.32,4.01,4.01,4.51,29,18,1,0,0,0,n,n,n,
172,-0.07,4.01,4.01,4.51,29,17,1,0,0,0,n,n,n,
173,0.43,3.84,4.04,4.55,29,16,2,0,0,0,n,n,n,
174,0.46,3.10,3.30,3.71,25,12,2,0,0,0,n,n,n,
175,0.45,2.46,2.46,2.77,25,10,2,0,0,0,n,n,n,
176,0.21,2.46,2.46,2.77,25,9,1,0,0,0,n,n,n,
177,0.49,2.29,2.29,2.58,24,6,1,0,0,0,n,n,n,
178,0.32,2.43,2.43,2.58,22,6,1,0,0,0,n,n,n,
179,0.73,2.16,2.16,2.42,23,7,1,0,0,0,n,n,n,
180,0.41,2.29,2.29,2.58,24,7,1,0,0,0,n,n,n,
181,0.26,2.57,2.57,2.89,27,7,1,0,0,0,n,n,n,
182,0.54,2.57,2.57,2.89,26,6,1,0,0,0,n,n,n,
183,0.16,2.54,2.54,2.86,27,5,1,0,0,0,n,n,n,
184,0.53,2.71,3.11,3.49,27,6,4,0,0,0,n,n,n,
185,0.43,2.02,2.42,2.72,19,6,4,0,0,0,n,n,n,
186,0.15,2.02,2.42,2.72,20,6,4,0,0,0,n,n,n,
187,0.81,1.88,2.28,2.56,18,6,4,0,0,0,n,n,n,
188,-0.06,1.41,1.61,1.81,18,5,5,0,0,0,n,n,n,
189,0.57,1.30,1.50,1.68,15,6,5,0,0,0,n,n,n,
190,0.17,1.30,1.50,1.68,15,6,5,0,0,0,n,n,n,
191,0.65,1.74,1.94,2.18,18,7,5,0,0,0,n,n,n,
192,0.39,2.05,2.44,2.75,18,7,5,0,0,0,n,n,n,
193,0.32,1.74,1.94,2.18,18,7,5,0,0,0,n,n,n,
194,0.40,1.74,1.94,3.13,19,7,6,0,0,0,n,n,n,
195,0.59,1.91,2.50,2.82,16,7,6,0,0,0,n,n,n,
196,0.73,2.05,2.64,2.97,18,7,6,0,0,0,n,n,n,
197,0.54,1.57,1.97,2.22,18,6,6,0,0,0,n,n,n,
198,0.25,1.30,1.70,1.91,15,6,6,0,0,0,n,n,n,
199,0.31,1.02,1.42,1.60,11,6,6,0,0,0,n,n,n,
200,0.21,1.33,2.12,2.39,11,6,7,0,0,0,n,n,n,
201,0.16,1.35,2.15,2.42,11,6,4,0,0,0,n,n,n,
202,0.30,1.02,1.22,1.75,11,5,4,0,0,0,n,n,n,
203,0.40,1.74,2.54,2.85,16,6,8,0,0,0,n,n,n,
204,0.75,1.93,2.73,3.07,15,10,8,0,0,0,n,n,n,
205,0.39,2.07,2.87,3.23,16,10,8,0,0,0,n,n,n,
206,0.03,2.21,3.01,3.38,17,9,7,0,0,0,n,n,n,
207,0.50,1.74,2.34,2.63,18,8,7,0,0,0,n,n,n,
208,0.16,1.88,2.48,2.79,17,9,7,0,0,0,n,n,n,
209,0.52,1.91,2.50,2.82,18,9,7,0,0,0,n,n,n,
