Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, counts:0.5, 1.0, 2.5, 5.0, 7.5, 10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,0.15,0.55,0.55,0.62,9,3,3,0,0,0,n,n,n,
1,0.25,0.55,0.55,0.62,9,3,3,0,0,0,n,n,n,
2,0.04,0.86,1.05,1.19,9,3,3,0,0,0,n,n,n,
3,-0.08,0.86,1.05,1.19,9,3,3,0,0,0,n,n,n,
4,-0.18,0.86,1.05,1.19,9,3,3,0,0,0,n,n,n,
5,0.40,1.13,1.33,1.50,12,2,3,0,0,0,n,n,n,
6,-0.37,1.13,1.33,1.50,10,1,3,0,0,0,n,n,n,
7,0.33,0.83,1.03,1.16,11,1,3,0,0,0,n,n,n,
8,0.22,0.83,1.03,1.16,11,1,3,0,0,0,n,n,n,
9,0.12,0.69,0.69,0.78,11,1,3,0,0,0,n,n,n,
10,-0.13,0.69,0.69,0.78,11,1,3,0,0,0,n,n,n,
11,0.45,0.41,0.41,0.46,8,1,3,0,0,0,n,n,n,
12,0.24,0.69,0.89,1.00,9,1,3,0,0,0,n,n,n,
13,0.26,0.69,0.89,1.00,6,1,3,0,0,0,n,n,n,
14,0.72,0.28,0.28,0.31,6,1,0,0,0,0,n,n,n,
15,-0.06,18.60,23.38,26.30,91,116,42,0,0,0,n,n,n,
16,0.10,42.85,64.54,72.61,201,254,184,3,0,0,n,n,n,
17,0.00,68.42,108.42,129.32,306,392,337,4,2,0,n,n,n,
18,-0.07,103.25,167.14,188.03,429,577,537,5,3,1,n,n,n,
19,-0.00,141.81,225.80,254.02,560,770,712,5,4,1,n,n,n,
20,0.21,183.14,276.68,311.27,728,964,801,9,4,1,n,n,n,
21,0.11,219.10,319.22,366.22,1022,1227,876,12,4,1,n,n,n,
22,-0.19,253.96,357.85,419.23,1150,1306,898,12,4,1,n,n,n,
23,0.34,299.41,407.08,468.45,1240,1366,910,12,4,1,n,n,n,
24,0.30,316.82,426.29,487.66,1346,1403,924,12,4,1,n,n,n,
25,-0.09,328.43,437.70,492.41,1420,1429,927,12,4,1,n,n,n,
26,0.24,337.78,448.64,510.01,1459,1452,934,12,4,1,n,n,n,
27,0.33,350.80,462.85,524.22,1512,1482,944,13,4,1,n,n,n,
28,0.60,362.99,475.44,536.81,1578,1513,946,13,4,1,n,n,n,
29,0.35,370.26,482.71,544.08,1628,1552,951,13,4,1,n,n,n,
30,0.14,375.10,488.14,549.52,1652,1567,958,13,4,1,n,n,n,
31,-0.01,382.28,495.53,557.47,1678,1580,961,13,4,1,n,n,n,
32,-0.08,380.05,491.90,553.39,1690,1591,961,13,4,1,n,n,n,
33,0.11,353.95,461.23,518.88,1616,1479,919,13,4,1,n,n,n,
34,0.14,316.19,407.14,458.04,1517,1347,777,10,4,1,n,n,n,
35,-0.32,283.18,357.62,402.32,1420,1215,627,9,2,1,n,n,n,
36,0.27,236.57,287.13,323.02,1302,1030,430,8,1,0,n,n,n,
37,0.19,196.68,226.74,255.08,1011,646,166,8,0,0,n,n,n,
38,0.14,156.27,175.77,160.23,872,510,121,1,0,0,n,n,n,
39,0.34,101.73,114.27,128.55,723,390,107,1,0,0,n,n,n,
40,0.06,82.65,93.00,104.63,595,317,88,1,0,0,n,n,n,
41,0.22,69.99,79.15,89.04,511,260,78,1,0,0,n,n,n,
42,0.13,57.94,65.70,73.91,412,225,67,1,0,0,n,n,n,
43,-0.03,49.51,57.07,64.21,345,201,64,1,0,0,n,n,n,
44,0.14,44.42,51.19,57.59,278,158,50,1,0,0,n,n,n,
45,0.11,38.81,44.58,50.15,225,127,52,0,0,0,n,n,n,
46,0.02,27.26,33.62,37.83,207,104,54,0,0,0,n,n,n,
47,0.40,24.33,30.10,33.86,184,93,50,0,0,0,n,n,n,
48,0.34,21.34,26.31,29.60,165,80,43,0,0,0,n,n,n,
49,-0.16,18.35,22.93,25.80,145,67,40,0,0,0,n,n,n,
50,0.25,17.44,22.42,25.22,140,61,43,0,0,0,n,n,n,
51,0.30,16.72,21.90,24.63,134,59,44,0,0,0,n,n,n,
52,0.01,16.09,21.66,24.37,128,49,45,0,0,0,n,n,n,
53,0.15,15.31,20.49,23.05,124,48,45,0,0,0,n,n,n,
54,0.37,14.76,20.33,22.87,121,49,48,0,0,0,n,n,n,
55,0.30,14.35,19.92,22.41,117,49,48,0,0,0,n,n,n,
56,-0.21,14.32,18.90,21.26,120,49,41,0,0,0,n,n,n,
57,0.25,14.29,17.87,20.11,122,48,32,0,0,0,n,n,n,
58,-0.06,14.24,17.62,19.82,123,43,29,0,0,0,n,n,n,
59,0.06,13.93,17.11,19.25,122,41,27,0,0,0,n,n,n,
60,0.45,13.21,16.00,18.00,107,39,28,0,0,0,n,n,n,
61,0.24,12.22,15.20,17.10,95,38,27,0,0,0,n,n,n,
62,0.13,9.76,12.34,13.89,85,32,25,0,0,0,n,n,n,
63,0.12,9.26,11.85,13.33,73,35,22,0,0,0,n,n,n,
64,0.29,8.38,10.36,11.66,68,32,19,0,0,0,n,n,n,
65,0.27,8.35,10.54,11.85,68,30,20,0,0,0,n,n,n,
66,0.27,8.32,10.51,11.82,70,28,20,0,0,0,n,n,n,
67,0.35,8.76,11.35,12.77,73,30,23,0,0,0,n,n,n,
68,0.33,7.91,10.09,11.35,64,31,24,0,0,0,n,n,n,
69,0.28,7.93,10.52,11.84,55,31,20,0,0,0,n,n,n,
70,0.21,6.83,9.22,10.37,52,31,22,0,0,0,n,n,n,
71,0.08,7.44,10.02,11.27,53,33,22,0,0,0,n,n,n,
72,0.13,8.07,10.26,11.54,54,37,20,0,0,0,n,n,n,
73,0.45,8.62,11.21,12.61,62,37,23,0,0,0,n,n,n,
74,0.22,8.15,11.54,12.98,60,35,29,0,0,0,n,n,n,
75,0.00,8.35,11.73,13.20,58,38,29,0,0,0,n,n,n,
76,0.05,8.68,12.46,14.02,53,40,32,0,0,0,n,n,n,
77,0.18,7.79,11.38,12.80,59,40,33,0,0,0,n,n,n,
78,0.13,8.35,11.93,13.42,60,39,33,0,0,0,n,n,n,
79,0.39,8.68,12.26,13.79,60,42,33,0,0,0,n,n,n,
80,0.13,8.65,12.23,13.76,61,41,33,0,0,0,n,n,n,
81,0.36,8.98,12.56,14.14,61,45,32,0,0,0,n,n,n,
82,0.30,9.31,12.90,14.51,62,48,32,0,0,0,n,n,n,
83,0.09,9.48,13.06,14.69,61,49,32,0,0,0,n,n,n,
84,0.56,9.51,13.09,14.73,51,52,29,0,0,0,n,n,n,
85,0.02,8.82,12.00,13.74,56,51,28,0,0,0,n,n,n,
86,0.16,8.93,11.52,12.95,55,49,24,0,0,0,n,n,n,
87,0.32,9.45,12.04,13.55,63,48,24,0,0,0,n,n,n,
88,0.56,9.45,12.24,13.77,63,48,26,0,0,0,n,n,n,
89,0.30,9.92,12.91,14.52,63,50,26,0,0,0,n,n,n,
90,0.33,9.12,12.31,13.84,62,43,28,0,0,0,n,n,n,
91,0.40,9.29,12.07,13.58,60,43,19,0,0,0,n,n,n,
92,0.21,8.98,11.17,12.57,60,39,19,0,0,0,n,n,n,
93,0.19,7.74,9.33,10.50,56,36,16,0,0,0,n,n,n,
